 	Area	XM	YM	Circ.	AR	Round	Solidity
1	4	46.000	10.500	0.740	4.000	0.250	1.000
2	5	57.300	10.900	1.000	1.553	0.644	0.909
3	7	82.071	11.500	0.718	1.918	0.521	0.778
4	9	92.278	10.944	0.923	2.386	0.419	0.947
5	1	100.500	10.500	1.000	1.000	1.000	1.000
6	3	113.833	10.833	1.000	1.464	0.683	0.857
7	4	158.000	10.500	0.740	4.000	0.250	1.000
8	2	169.000	10.500	1.000	2.000	0.500	1.000
9	1	183.500	10.500	1.000	1.000	1.000	1.000
10	14	195.214	13.571	0.647	2.334	0.428	0.824
11	5	234.700	10.900	1.000	1.553	0.644	0.909
12	2	256.000	10.500	1.000	2.000	0.500	1.000
13	7	274.214	11.071	0.943	1.936	0.517	0.933
14	2	298.000	10.500	1.000	2.000	0.500	1.000
15	2	310.000	10.500	1.000	2.000	0.500	1.000
16	3	411.500	10.500	0.967	3.000	0.333	1.000
17	4	439.000	10.500	0.740	4.000	0.250	1.000
18	16	510.188	12.188	0.927	1.337	0.748	0.842
19	1	520.500	10.500	1.000	1.000	1.000	1.000
20	6	554.500	11.000	1.000	1.500	0.667	1.000
21	7	570.500	11.214	1.000	1.069	0.936	0.875
22	7	583.786	11.071	1.000	1.936	0.517	0.933
23	1	666.500	10.500	1.000	1.000	1.000	1.000
24	10	681.000	11.300	1.000	1.327	0.753	0.909
25	7	700.500	11.500	1.000	1.596	0.626	0.875
26	1	716.500	10.500	1.000	1.000	1.000	1.000
27	1	724.500	10.500	1.000	1.000	1.000	1.000
28	5	734.100	10.700	0.764	2.188	0.457	0.769
29	12	755.500	10.917	0.664	3.156	0.317	0.923
30	1	810.500	10.500	1.000	1.000	1.000	1.000
31	3	889.500	10.500	0.967	3.000	0.333	1.000
32	2	904.000	10.500	1.000	2.000	0.500	1.000
33	2	1013.000	10.500	1.000	2.000	0.500	1.000
34	6	402.333	12.500	1.000	1.809	0.553	0.800
35	10	601.800	12.800	0.982	1.241	0.806	0.800
36	4	774.000	12.500	0.857	2.031	0.492	0.800
37	10	848.700	12.800	1.000	1.559	0.641	0.909
38	11	346.409	14.136	1.000	1.372	0.729	0.957
39	14	997.714	14.143	0.993	1.264	0.791	0.848
40	1	281.500	13.500	1.000	1.000	1.000	1.000
41	3	205.167	15.167	1.000	1.464	0.683	0.857
42	4	481.250	15.500	0.857	1.468	0.681	0.800
43	12	986.000	16.000	1.000	1.000	1.000	0.857
44	4	377.500	15.750	1.000	1.468	0.681	0.800
45	5	930.300	16.100	1.000	1.553	0.644	0.909
46	3	633.833	16.833	1.000	1.464	0.683	0.857
47	4	661.250	17.500	0.857	1.468	0.681	0.800
48	3	917.167	17.167	1.000	1.464	0.683	0.857
49	7	92.500	18.500	1.000	1.596	0.626	0.875
50	3	287.167	17.833	1.000	1.464	0.683	0.857
51	1	426.500	17.500	1.000	1.000	1.000	1.000
52	3	172.500	18.500	0.967	3.000	0.333	1.000
53	12	434.917	19.750	1.000	1.281	0.780	0.857
