 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	67.500	10.750	0.588	3.759	0.266	0.800
2	8	79.000	11.250	0.914	1.040	0.962	0.800
3	5	92.700	10.900	1.000	1.553	0.644	0.909
4	5	204.300	10.900	1.000	1.553	0.644	0.909
5	1	283.500	10.500	1.000	1.000	1.000	1.000
6	2	308.000	10.500	1.000	2.000	0.500	1.000
7	5	314.700	10.900	1.000	1.553	0.644	0.909
8	6	342.000	10.833	0.916	1.809	0.553	0.857
9	4	351.000	10.500	0.740	4.000	0.250	1.000
10	13	450.192	11.500	1.000	1.551	0.645	0.929
11	2	590.500	11.000	1.000	2.000	0.500	1.000
12	4	709.500	10.750	1.000	1.468	0.681	0.800
13	2	871.000	10.500	1.000	2.000	0.500	1.000
14	10	1012.600	12.300	1.000	1.288	0.776	0.909
15	5	41.300	12.100	1.000	1.553	0.644	0.909
16	3	411.500	11.500	0.967	3.000	0.333	1.000
17	4	562.500	12.250	1.000	1.468	0.681	0.800
18	1	634.500	11.500	1.000	1.000	1.000	1.000
19	10	751.500	12.000	0.925	2.500	0.400	1.000
20	1	755.500	11.500	1.000	1.000	1.000	1.000
21	15	1004.567	13.100	1.000	1.295	0.772	0.857
22	3	477.167	13.167	1.000	1.464	0.683	0.857
23	8	998.625	13.625	1.000	1.229	0.814	0.941
24	6	699.000	14.000	0.916	2.082	0.480	0.857
25	6	894.000	14.500	1.000	1.500	0.667	1.000
26	7	101.643	15.214	1.000	1.380	0.725	0.875
27	5	437.700	14.900	1.000	1.553	0.644	0.909
28	2	859.500	15.000	1.000	2.000	0.500	1.000
29	1	53.500	15.500	1.000	1.000	1.000	1.000
30	1	968.500	15.500	1.000	1.000	1.000	1.000
31	9	976.722	15.944	0.832	2.386	0.419	0.947
32	7	923.500	17.500	1.000	1.596	0.626	0.875
33	2	243.000	17.500	1.000	2.000	0.500	1.000
34	1	336.500	17.500	1.000	1.000	1.000	1.000
35	2	25.500	19.000	1.000	2.000	0.500	1.000
36	3	414.833	19.167	1.000	1.464	0.683	0.857
37	4	71.000	20.000	1.000	1.000	1.000	1.000
38	5	520.100	20.700	1.000	1.553	0.644	0.909
39	12	546.333	21.583	1.000	1.579	0.633	0.889
40	8	635.625	21.375	1.000	1.229	0.814	0.941
41	6	270.667	22.667	1.000	1.291	0.775	0.800
42	1	866.500	21.500	1.000	1.000	1.000	1.000
43	5	1007.300	22.100	1.000	1.553	0.644	0.909
44	2	994.000	22.500	1.000	2.000	0.500	1.000
45	12	100.250	24.833	0.781	2.282	0.438	0.800
46	16	306.875	25.688	1.000	1.568	0.638	0.914
47	9	357.611	24.833	1.000	1.340	0.746	0.857
48	5	626.300	24.700	0.873	2.308	0.433	0.769
