 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	12.300	10.900	1.000	1.553	0.644	0.909
2	2	137.000	10.500	1.000	2.000	0.500	1.000
3	3	171.500	10.500	0.967	3.000	0.333	1.000
4	6	205.500	11.000	1.000	1.500	0.667	1.000
5	16	266.500	12.500	0.927	1.673	0.598	0.821
6	3	287.500	10.500	0.967	3.000	0.333	1.000
7	7	336.357	10.786	0.718	2.423	0.413	0.824
8	2	385.000	10.500	1.000	2.000	0.500	1.000
9	5	483.300	10.700	0.674	2.749	0.364	0.769
10	9	512.389	12.167	1.000	1.340	0.746	0.857
11	2	525.000	10.500	1.000	2.000	0.500	1.000
12	4	656.000	10.500	0.740	4.000	0.250	1.000
13	3	666.500	10.500	0.967	3.000	0.333	1.000
14	3	695.167	10.833	1.000	1.464	0.683	0.857
15	2	806.000	10.500	1.000	2.000	0.500	1.000
16	11	818.864	11.409	1.000	1.372	0.729	0.957
17	2	836.000	10.500	1.000	2.000	0.500	1.000
18	4	872.500	10.750	1.000	1.468	0.681	0.800
19	2	905.000	10.500	1.000	2.000	0.500	1.000
20	1	932.500	10.500	1.000	1.000	1.000	1.000
21	7	1009.786	10.929	1.000	1.936	0.517	0.933
22	4	35.250	12.500	0.857	1.468	0.681	0.800
23	4	116.000	12.000	1.000	1.000	1.000	1.000
24	10	463.400	13.300	0.776	2.209	0.453	0.769
25	6	768.500	12.000	1.000	1.500	0.667	1.000
26	10	580.000	13.500	1.000	1.551	0.645	0.909
27	3	147.500	13.500	0.967	3.000	0.333	1.000
28	7	707.214	13.929	0.943	1.936	0.517	0.933
29	9	126.500	15.833	1.000	1.542	0.648	0.857
30	12	538.000	15.500	1.000	1.333	0.750	1.000
31	4	246.500	15.750	1.000	1.468	0.681	0.800
32	1	403.500	15.500	1.000	1.000	1.000	1.000
33	4	376.500	17.250	1.000	1.468	0.681	0.800
34	4	492.000	17.000	1.000	1.000	1.000	1.000
35	2	848.000	16.500	1.000	2.000	0.500	1.000
36	8	954.625	17.375	1.000	1.229	0.814	0.941
37	15	433.367	18.900	1.000	1.530	0.654	0.857
38	4	619.000	18.000	1.000	1.000	1.000	1.000
39	10	718.000	18.300	1.000	1.327	0.753	0.909
40	1	919.500	17.500	1.000	1.000	1.000	1.000
41	3	275.833	18.833	1.000	1.464	0.683	0.857
42	13	479.962	21.115	1.000	1.450	0.690	0.897
43	1	727.500	19.500	1.000	1.000	1.000	1.000
44	1	40.500	20.500	1.000	1.000	1.000	1.000
45	5	365.500	21.500	0.873	1.000	1.000	0.714
46	13	388.885	22.115	1.000	1.159	0.863	0.897
47	4	779.000	21.000	1.000	1.000	1.000	1.000
48	1	191.500	21.500	1.000	1.000	1.000	1.000
49	11	556.682	23.591	0.887	1.772	0.564	0.846
50	5	600.700	21.900	1.000	1.553	0.644	0.909
51	2	656.000	21.500	1.000	2.000	0.500	1.000
52	6	768.333	22.167	0.916	1.124	0.890	0.800
53	8	976.250	22.875	0.914	1.605	0.623	0.800
54	5	574.900	23.700	1.000	1.553	0.644	0.909
55	4	889.250	23.500	0.857	1.468	0.681	0.800
