 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	33.000	10.500	1.000	2.000	0.500	1.000
2	3	139.500	10.500	0.967	3.000	0.333	1.000
3	19	151.500	12.289	1.000	1.121	0.892	0.864
4	6	165.000	11.000	0.916	2.082	0.480	0.857
5	1	235.500	10.500	1.000	1.000	1.000	1.000
6	1	272.500	10.500	1.000	1.000	1.000	1.000
7	1	439.500	10.500	1.000	1.000	1.000	1.000
8	6	511.000	10.833	0.916	1.809	0.553	0.857
9	10	540.500	12.000	1.000	1.551	0.645	0.909
10	3	559.500	10.500	0.967	3.000	0.333	1.000
11	4	603.000	10.500	0.740	4.000	0.250	1.000
12	2	652.000	10.500	1.000	2.000	0.500	1.000
13	12	772.833	11.583	0.967	1.218	0.821	0.889
14	6	816.500	11.000	1.000	1.500	0.667	1.000
15	2	843.500	11.000	1.000	2.000	0.500	1.000
16	1	897.500	10.500	1.000	1.000	1.000	1.000
17	1	913.500	10.500	1.000	1.000	1.000	1.000
18	10	980.600	10.900	0.736	2.953	0.339	0.909
19	1	106.500	11.500	1.000	1.000	1.000	1.000
20	4	551.000	11.500	0.740	4.000	0.250	1.000
21	1	596.500	11.500	1.000	1.000	1.000	1.000
22	5	700.100	12.300	1.000	1.553	0.644	0.909
23	1	721.500	11.500	1.000	1.000	1.000	1.000
24	1	966.500	11.500	1.000	1.000	1.000	1.000
25	1	117.500	13.500	1.000	1.000	1.000	1.000
26	2	475.500	14.000	1.000	2.000	0.500	1.000
27	5	493.300	13.900	1.000	1.553	0.644	0.909
28	1	785.500	13.500	1.000	1.000	1.000	1.000
29	5	999.500	14.500	0.873	1.000	1.000	0.714
30	4	1008.500	13.750	1.000	1.468	0.681	0.800
31	8	392.125	16.500	0.740	2.232	0.448	0.889
32	11	613.227	15.227	0.976	1.603	0.624	0.880
33	12	691.667	15.583	0.967	1.579	0.633	0.889
34	1	987.500	14.500	1.000	1.000	1.000	1.000
35	2	43.500	16.000	1.000	2.000	0.500	1.000
36	1	206.500	15.500	1.000	1.000	1.000	1.000
37	2	638.000	15.500	1.000	2.000	0.500	1.000
38	6	715.000	16.833	0.916	1.809	0.553	0.857
39	2	12.000	17.500	1.000	2.000	0.500	1.000
40	4	220.250	18.250	0.857	2.000	0.500	0.800
41	7	402.214	18.929	0.800	1.668	0.600	0.778
42	3	24.500	18.500	0.967	3.000	0.333	1.000
43	9	34.611	20.167	1.000	1.340	0.746	0.857
44	1	183.500	18.500	1.000	1.000	1.000	1.000
45	3	339.833	19.167	1.000	1.464	0.683	0.857
46	4	734.000	19.000	1.000	1.000	1.000	1.000
47	4	823.000	19.000	1.000	1.000	1.000	1.000
48	1	908.500	18.500	1.000	1.000	1.000	1.000
49	3	160.167	20.167	1.000	1.464	0.683	0.857
50	2	291.500	20.000	1.000	2.000	0.500	1.000
51	4	414.750	20.750	0.857	2.000	0.500	0.800
52	6	548.500	20.333	1.000	1.809	0.553	0.800
53	8	682.750	20.875	0.914	1.435	0.697	0.842
54	9	775.500	20.500	1.000	1.000	1.000	1.000
55	13	957.885	20.885	1.000	1.159	0.863	0.897
56	3	149.167	20.833	1.000	1.464	0.683	0.857
57	8	580.000	22.000	1.000	2.000	0.500	1.000
58	4	654.000	21.000	1.000	1.000	1.000	1.000
59	6	102.000	22.500	1.000	1.500	0.667	1.000
60	2	130.000	21.500	1.000	2.000	0.500	1.000
61	6	784.667	22.667	1.000	1.291	0.775	0.800
62	1	844.500	21.500	1.000	1.000	1.000	1.000
63	1	925.500	21.500	1.000	1.000	1.000	1.000
64	1	946.500	21.500	1.000	1.000	1.000	1.000
65	1	967.500	21.500	1.000	1.000	1.000	1.000
66	6	111.167	24.000	0.809	1.809	0.553	0.857
67	9	794.167	23.611	1.000	1.340	0.746	0.857
68	3	1013.167	23.167	1.000	1.464	0.683	0.857
69	1	481.500	23.500	1.000	1.000	1.000	1.000
