 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	82.000	10.500	1.000	2.000	0.500	1.000
2	8	93.500	11.000	0.820	2.392	0.418	0.889
3	1	127.500	10.500	1.000	1.000	1.000	1.000
4	2	149.500	11.000	1.000	2.000	0.500	1.000
5	2	214.500	11.000	1.000	2.000	0.500	1.000
6	7	276.071	10.786	0.718	2.982	0.335	0.824
7	3	339.833	10.833	1.000	1.464	0.683	0.857
8	6	436.500	10.667	0.615	2.806	0.356	0.750
9	5	630.300	10.900	1.000	1.553	0.644	0.909
10	5	639.700	10.900	1.000	1.553	0.644	0.909
11	3	757.500	10.500	0.967	3.000	0.333	1.000
12	3	781.500	10.500	0.967	3.000	0.333	1.000
13	4	792.000	10.500	0.740	4.000	0.250	1.000
14	2	865.000	10.500	1.000	2.000	0.500	1.000
15	2	910.000	10.500	1.000	2.000	0.500	1.000
16	1	66.500	11.500	1.000	1.000	1.000	1.000
17	8	137.000	13.000	1.000	2.000	0.500	1.000
18	5	546.100	13.700	1.000	1.553	0.644	0.909
19	3	605.833	12.833	1.000	1.464	0.683	0.857
20	5	730.900	13.700	1.000	1.553	0.644	0.909
21	2	254.500	14.000	1.000	2.000	0.500	1.000
22	6	462.000	14.500	1.000	1.500	0.667	1.000
23	7	708.500	14.500	1.000	1.596	0.626	0.875
24	7	162.500	15.786	1.000	1.069	0.936	0.875
25	6	291.667	15.333	1.000	1.291	0.775	0.800
26	12	358.750	16.833	0.719	2.122	0.471	0.828
27	1	427.500	14.500	1.000	1.000	1.000	1.000
28	1	281.500	15.500	1.000	1.000	1.000	1.000
29	12	382.333	16.417	1.000	1.579	0.633	0.889
30	4	892.000	17.000	1.000	1.000	1.000	1.000
31	8	415.875	19.875	0.740	2.564	0.390	0.889
32	2	472.000	17.500	1.000	2.000	0.500	1.000
33	2	725.000	18.000	0.785	2.646	0.378	0.667
34	2	46.500	19.000	1.000	2.000	0.500	1.000
35	5	189.300	18.900	1.000	1.553	0.644	0.909
36	21	368.310	21.071	1.000	1.221	0.819	0.857
37	3	637.833	19.167	1.000	1.464	0.683	0.857
38	6	670.000	18.833	0.916	1.809	0.553	0.857
39	10	102.200	20.800	0.982	1.241	0.806	0.800
40	7	347.500	20.214	1.000	1.069	0.936	0.875
41	14	519.429	21.643	1.000	1.662	0.602	0.966
42	10	574.700	21.000	1.000	1.327	0.753	0.909
43	12	964.917	21.750	1.000	1.281	0.780	0.857
44	7	74.500	22.214	1.000	1.069	0.936	0.875
45	9	536.833	22.389	1.000	1.340	0.746	0.857
46	7	900.214	22.500	1.000	1.069	0.936	0.875
47	1	910.500	21.500	1.000	1.000	1.000	1.000
48	7	954.500	22.500	1.000	1.596	0.626	0.875
49	7	54.786	23.500	1.000	1.069	0.936	0.875
50	2	65.000	22.500	1.000	2.000	0.500	1.000
51	5	300.300	23.100	1.000	1.553	0.644	0.909
52	6	604.000	23.167	0.916	1.809	0.553	0.857
53	2	609.000	22.500	1.000	2.000	0.500	1.000
54	5	614.100	23.300	1.000	1.553	0.644	0.909
55	1	986.500	22.500	1.000	1.000	1.000	1.000
56	3	390.833	24.167	1.000	1.464	0.683	0.857
57	2	802.500	24.000	1.000	2.000	0.500	1.000
58	4	998.000	25.000	0.611	3.493	0.286	0.667
59	3	1013.500	25.500	0.809	3.000	0.333	1.000
60	7	217.357	27.071	0.800	1.387	0.721	0.737
61	9	509.500	26.500	1.000	1.000	1.000	1.000
62	4	593.000	26.000	1.000	1.000	1.000	1.000
63	3	648.833	27.167	1.000	1.464	0.683	0.857
64	4	36.000	28.000	1.000	1.000	1.000	1.000
65	17	408.206	30.971	0.911	1.856	0.539	0.850
66	8	638.000	29.500	1.000	1.195	0.837	0.800
67	1	191.500	29.500	1.000	1.000	1.000	1.000
68	3	577.833	30.167	1.000	1.464	0.683	0.857
69	4	623.000	30.000	1.000	1.000	1.000	1.000
70	4	832.000	30.000	1.000	1.000	1.000	1.000
71	3	441.833	31.167	1.000	1.464	0.683	0.857
72	8	609.750	31.750	0.914	1.416	0.706	0.800
73	5	118.500	32.700	0.873	1.496	0.668	0.714
74	3	142.833	31.833	1.000	1.464	0.683	0.857
75	3	153.833	32.167	1.000	1.464	0.683	0.857
76	2	472.000	32.500	1.000	2.000	0.500	1.000
77	3	797.833	33.167	1.000	1.464	0.683	0.857
78	1	536.500	33.500	1.000	1.000	1.000	1.000
79	4	843.000	34.000	1.000	1.000	1.000	1.000
80	8	385.250	35.500	0.914	1.554	0.644	0.800
81	4	966.000	35.000	1.000	1.000	1.000	1.000
82	1	989.500	34.500	1.000	1.000	1.000	1.000
83	7	31.786	36.500	1.000	1.069	0.936	0.875
84	18	368.722	37.556	1.000	1.094	0.914	0.857
85	10	765.300	38.000	1.000	1.327	0.753	0.909
86	2	947.000	37.000	0.785	2.646	0.378	0.667
87	1	126.500	37.500	1.000	1.000	1.000	1.000
88	3	488.167	38.167	1.000	1.464	0.683	0.857
89	8	688.750	39.250	1.000	1.416	0.706	0.800
90	6	734.333	39.333	1.000	1.291	0.775	0.800
91	10	40.500	41.000	1.000	1.551	0.645	0.909
92	2	319.000	39.500	1.000	2.000	0.500	1.000
93	3	498.167	40.167	1.000	1.464	0.683	0.857
94	7	882.500	40.786	1.000	1.069	0.936	0.875
95	9	463.500	41.500	1.000	1.000	1.000	1.000
96	9	939.389	42.167	1.000	1.340	0.746	0.857
97	2	406.500	42.000	1.000	2.000	0.500	1.000
98	5	819.500	42.500	0.873	1.000	1.000	0.714
99	3	1012.833	42.167	1.000	1.464	0.683	0.857
100	6	13.167	43.333	1.000	1.124	0.890	0.800
101	2	442.500	43.000	1.000	2.000	0.500	1.000
102	1	994.500	42.500	1.000	1.000	1.000	1.000
103	1	21.500	43.500	1.000	1.000	1.000	1.000
104	1	518.500	43.500	1.000	1.000	1.000	1.000
105	5	540.100	44.700	1.000	1.553	0.644	0.909
106	1	724.500	43.500	1.000	1.000	1.000	1.000
107	2	755.000	43.500	1.000	2.000	0.500	1.000
108	8	69.625	45.375	1.000	1.229	0.814	0.941
109	1	929.500	44.500	1.000	1.000	1.000	1.000
110	7	87.786	46.500	1.000	1.069	0.936	0.875
111	4	106.250	46.500	0.857	1.468	0.681	0.800
112	1	198.500	46.500	1.000	1.000	1.000	1.000
113	16	392.312	47.500	0.885	1.873	0.534	0.941
114	7	644.071	47.786	0.943	1.936	0.517	0.933
115	1	775.500	46.500	1.000	1.000	1.000	1.000
116	3	151.500	48.500	0.809	3.000	0.333	1.000
117	6	366.500	48.000	1.000	1.500	0.667	1.000
118	1	613.500	48.500	1.000	1.000	1.000	1.000
119	4	690.000	49.000	1.000	1.000	1.000	1.000
120	8	791.375	49.375	1.000	1.229	0.814	0.941
121	2	603.000	49.500	1.000	2.000	0.500	1.000
