 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	85.000	10.500	1.000	2.000	0.500	1.000
2	2	122.000	10.500	1.000	2.000	0.500	1.000
3	4	138.000	11.000	1.000	1.000	1.000	1.000
4	5	149.300	10.900	1.000	1.553	0.644	0.909
5	4	168.500	10.750	1.000	1.468	0.681	0.800
6	9	273.611	12.167	1.000	1.340	0.746	0.857
7	4	388.000	10.500	0.740	4.000	0.250	1.000
8	10	397.400	10.900	0.674	2.953	0.339	0.909
9	1	409.500	10.500	1.000	1.000	1.000	1.000
10	5	416.300	10.900	1.000	1.553	0.644	0.909
11	1	451.500	10.500	1.000	1.000	1.000	1.000
12	3	485.500	10.500	0.967	3.000	0.333	1.000
13	2	513.000	10.500	1.000	2.000	0.500	1.000
14	2	559.000	10.500	1.000	2.000	0.500	1.000
15	4	611.500	10.750	1.000	1.468	0.681	0.800
16	9	657.833	11.389	1.000	1.340	0.746	0.857
17	11	704.409	11.409	0.715	2.662	0.376	0.786
18	4	725.500	10.750	1.000	1.468	0.681	0.800
19	7	822.786	10.929	1.000	1.936	0.517	0.933
20	3	890.167	10.833	1.000	1.464	0.683	0.857
21	1	942.500	10.500	1.000	1.000	1.000	1.000
22	1	963.500	10.500	1.000	1.000	1.000	1.000
23	3	973.500	10.500	0.967	3.000	0.333	1.000
24	5	768.300	11.900	1.000	1.553	0.644	0.909
25	8	899.625	13.000	0.914	1.308	0.764	0.800
26	1	999.500	11.500	1.000	1.000	1.000	1.000
27	2	597.000	13.500	1.000	2.000	0.500	1.000
28	6	807.500	14.000	1.000	1.500	0.667	1.000
29	1	849.500	13.500	1.000	1.000	1.000	1.000
30	2	866.000	14.500	1.000	2.000	0.500	1.000
31	3	263.167	15.833	1.000	1.464	0.683	0.857
32	8	693.625	16.625	1.000	1.229	0.814	0.941
33	5	912.500	16.500	0.873	1.000	1.000	0.714
34	1	28.500	16.500	1.000	1.000	1.000	1.000
35	3	158.167	17.167	1.000	1.464	0.683	0.857
36	2	305.500	17.000	1.000	2.000	0.500	1.000
37	5	649.900	17.700	1.000	1.553	0.644	0.909
38	13	140.731	18.654	0.956	1.796	0.557	0.929
39	13	342.654	18.346	0.846	2.286	0.437	0.867
