 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	93.500	10.500	1.000	1.000	1.000	1.000
2	3	156.500	10.500	0.967	3.000	0.333	1.000
3	2	366.000	10.500	1.000	2.000	0.500	1.000
4	2	400.000	10.500	1.000	2.000	0.500	1.000
5	3	409.500	11.500	0.809	3.000	0.333	1.000
6	6	445.333	11.500	1.000	1.809	0.553	0.800
7	9	462.278	11.056	0.923	2.386	0.419	0.947
8	10	540.700	11.500	1.000	1.236	0.809	0.909
9	10	586.900	10.800	0.553	4.023	0.249	0.833
10	6	678.500	10.667	0.615	2.806	0.356	0.750
11	1	699.500	10.500	1.000	1.000	1.000	1.000
12	7	710.357	10.786	0.718	2.423	0.413	0.824
13	1	747.500	10.500	1.000	1.000	1.000	1.000
14	10	777.300	11.500	1.000	1.236	0.809	0.909
15	2	803.000	10.500	1.000	2.000	0.500	1.000
16	3	910.500	10.500	0.967	3.000	0.333	1.000
17	5	966.300	10.900	1.000	1.553	0.644	0.909
18	2	999.000	10.500	1.000	2.000	0.500	1.000
19	4	794.000	12.000	1.000	1.000	1.000	1.000
20	6	950.667	12.833	0.916	1.124	0.890	0.800
21	2	38.500	13.000	1.000	2.000	0.500	1.000
22	1	335.500	12.500	1.000	1.000	1.000	1.000
23	13	473.962	14.346	1.000	1.148	0.871	0.897
24	6	859.500	13.000	1.000	1.500	0.667	1.000
25	1	958.500	12.500	1.000	1.000	1.000	1.000
26	10	24.700	14.500	1.000	1.236	0.809	0.909
27	11	520.136	14.409	1.000	1.372	0.729	0.957
28	1	689.500	13.500	1.000	1.000	1.000	1.000
29	5	71.700	15.100	1.000	1.553	0.644	0.909
30	5	254.500	15.300	0.873	1.496	0.668	0.714
31	1	844.500	14.500	1.000	1.000	1.000	1.000
32	3	62.833	16.167	1.000	1.464	0.683	0.857
33	2	155.500	16.000	1.000	2.000	0.500	1.000
34	9	742.722	17.056	0.799	1.709	0.585	0.750
35	9	1012.722	16.833	1.000	1.185	0.844	0.857
36	5	493.900	17.700	1.000	1.553	0.644	0.909
37	7	269.643	18.357	0.898	1.571	0.636	0.737
38	8	996.625	18.625	1.000	1.229	0.814	0.941
39	6	416.167	19.833	0.916	1.593	0.628	0.857
40	2	433.000	18.500	1.000	2.000	0.500	1.000
41	4	509.000	19.000	1.000	1.000	1.000	1.000
42	12	981.000	20.000	1.000	1.000	1.000	0.857
43	10	463.700	20.500	1.000	1.236	0.809	0.909
44	7	577.786	20.500	1.000	1.069	0.936	0.875
45	6	852.000	20.000	0.916	2.082	0.480	0.857
46	7	364.500	21.214	1.000	1.069	0.936	0.875
47	6	542.500	21.000	1.000	1.500	0.667	1.000
48	23	309.804	23.717	1.000	1.314	0.761	0.885
49	1	31.500	22.500	1.000	1.000	1.000	1.000
50	2	333.000	22.500	1.000	2.000	0.500	1.000
51	4	406.000	23.000	1.000	1.000	1.000	1.000
52	4	524.500	23.250	1.000	1.468	0.681	0.800
