 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	165.000	10.500	1.000	2.000	0.500	1.000
2	4	250.000	11.000	1.000	1.000	1.000	1.000
3	6	274.000	10.833	0.916	1.809	0.553	0.857
4	14	337.286	11.643	0.911	1.120	0.893	0.848
5	3	437.500	10.500	0.967	3.000	0.333	1.000
6	6	502.000	10.500	0.503	6.000	0.167	1.000
7	4	545.000	10.500	0.740	4.000	0.250	1.000
8	3	617.833	10.833	1.000	1.464	0.683	0.857
9	2	687.000	10.500	1.000	2.000	0.500	1.000
10	3	721.167	11.167	1.000	1.464	0.683	0.857
11	8	870.250	11.125	0.914	1.435	0.697	0.842
12	2	882.000	10.500	1.000	2.000	0.500	1.000
13	13	894.269	10.962	0.719	3.340	0.299	0.963
14	3	901.500	10.500	0.967	3.000	0.333	1.000
15	5	918.900	10.700	0.764	2.188	0.457	0.769
16	13	291.115	12.885	1.000	1.159	0.863	0.897
17	12	526.667	12.417	0.967	1.579	0.633	0.889
18	2	834.500	12.000	1.000	2.000	0.500	1.000
19	6	230.500	13.000	1.000	1.500	0.667	1.000
20	8	749.625	13.375	1.000	1.229	0.814	0.941
21	4	999.250	13.500	0.857	1.468	0.681	0.800
22	11	389.864	14.591	1.000	1.372	0.729	0.957
23	12	578.667	15.667	0.967	1.469	0.681	0.889
24	8	651.625	14.625	1.000	1.229	0.814	0.941
25	6	732.000	14.000	0.916	2.082	0.480	0.857
26	1	100.500	14.500	1.000	1.000	1.000	1.000
27	2	355.000	14.500	1.000	2.000	0.500	1.000
28	6	961.167	15.833	0.916	1.593	0.628	0.857
29	7	516.214	16.500	1.000	1.069	0.936	0.875
30	1	175.500	16.500	1.000	1.000	1.000	1.000
31	4	470.500	18.000	0.645	4.000	0.250	1.000
32	12	765.000	18.000	1.000	1.000	1.000	0.857
33	5	367.900	18.700	1.000	1.553	0.644	0.909
34	8	588.625	18.625	1.000	1.229	0.814	0.941
35	7	685.786	17.929	1.000	1.936	0.517	0.933
36	7	803.500	18.214	1.000	1.069	0.936	0.875
37	1	811.500	17.500	1.000	1.000	1.000	1.000
38	1	845.500	17.500	1.000	1.000	1.000	1.000
39	3	21.167	19.167	1.000	1.464	0.683	0.857
40	2	138.000	18.500	1.000	2.000	0.500	1.000
41	2	456.000	19.000	0.785	2.646	0.378	0.667
42	12	600.000	20.500	0.851	1.504	0.665	0.800
43	2	628.500	19.000	1.000	2.000	0.500	1.000
44	6	836.500	19.000	1.000	1.500	0.667	1.000
45	5	1000.100	19.300	1.000	1.553	0.644	0.909
46	5	68.300	19.900	1.000	1.553	0.644	0.909
47	1	279.500	19.500	1.000	1.000	1.000	1.000
48	9	561.389	21.056	1.000	1.817	0.550	0.857
49	2	794.500	20.000	1.000	2.000	0.500	1.000
50	3	144.833	21.167	1.000	1.464	0.683	0.857
51	1	184.500	20.500	1.000	1.000	1.000	1.000
52	12	348.583	22.833	0.851	1.711	0.584	0.828
53	4	531.500	21.250	0.698	2.654	0.377	0.667
54	2	715.000	20.500	1.000	2.000	0.500	1.000
55	3	31.833	22.167	1.000	1.464	0.683	0.857
56	2	435.500	22.000	1.000	2.000	0.500	1.000
57	2	458.000	21.500	1.000	2.000	0.500	1.000
58	3	774.167	22.167	1.000	1.464	0.683	0.857
59	3	945.167	21.833	1.000	1.464	0.683	0.857
60	7	231.786	23.500	1.000	1.069	0.936	0.875
61	4	322.000	24.000	1.000	1.000	1.000	1.000
62	8	447.500	25.000	0.914	1.195	0.837	0.800
63	5	637.900	24.700	1.000	1.553	0.644	0.909
64	5	668.300	24.100	1.000	1.553	0.644	0.909
65	2	11.500	25.000	1.000	2.000	0.500	1.000
66	3	214.500	24.500	0.967	3.000	0.333	1.000
67	6	813.667	25.667	1.000	1.291	0.775	0.800
68	3	299.167	25.833	1.000	1.464	0.683	0.857
69	4	610.000	26.500	0.857	2.031	0.492	0.800
70	3	93.167	26.833	1.000	1.464	0.683	0.857
71	1	175.500	26.500	1.000	1.000	1.000	1.000
72	4	566.000	27.000	1.000	1.000	1.000	1.000
73	3	754.167	27.833	1.000	1.464	0.683	0.857
74	2	154.000	28.500	1.000	2.000	0.500	1.000
75	6	674.333	29.667	1.000	1.291	0.775	0.800
76	6	704.500	29.000	1.000	1.500	0.667	1.000
77	5	715.900	29.300	1.000	1.553	0.644	0.909
78	10	1011.600	30.800	0.887	2.041	0.490	0.800
79	4	337.750	32.250	0.857	2.000	0.500	0.800
80	3	399.167	32.167	1.000	1.464	0.683	0.857
81	2	989.500	32.000	1.000	2.000	0.500	1.000
82	8	580.375	33.625	1.000	1.229	0.814	0.941
83	16	349.500	35.000	1.000	1.209	0.827	0.889
84	3	231.167	34.833	1.000	1.464	0.683	0.857
85	13	622.962	36.500	0.922	1.257	0.796	0.788
86	12	14.417	36.833	0.967	1.218	0.821	0.889
87	3	89.833	35.833	1.000	1.464	0.683	0.857
88	4	393.000	36.000	1.000	1.000	1.000	1.000
89	2	888.500	36.000	1.000	2.000	0.500	1.000
90	8	935.000	36.500	1.000	1.195	0.837	0.800
91	16	741.500	38.000	1.000	1.209	0.827	0.889
92	6	879.500	37.000	1.000	1.500	0.667	1.000
