 	Area	XM	YM	Circ.	AR	Round	Solidity
1	7	29.214	11.500	1.000	1.069	0.936	0.875
2	4	219.500	10.750	1.000	1.468	0.681	0.800
3	5	274.100	10.700	0.764	2.188	0.457	0.769
4	7	292.500	11.500	1.000	1.596	0.626	0.875
5	7	315.214	10.929	0.943	1.936	0.517	0.933
6	3	332.500	10.500	0.967	3.000	0.333	1.000
7	5	345.900	10.700	0.764	2.188	0.457	0.769
8	3	538.500	10.500	0.967	3.000	0.333	1.000
9	6	552.833	11.333	0.916	1.124	0.890	0.800
10	7	588.071	10.643	0.515	3.579	0.279	0.737
11	2	661.000	10.500	1.000	2.000	0.500	1.000
12	3	767.500	10.500	0.967	3.000	0.333	1.000
13	8	865.625	11.375	1.000	1.229	0.814	0.941
14	1	942.500	10.500	1.000	1.000	1.000	1.000
15	5	984.300	10.900	1.000	1.553	0.644	0.909
16	4	107.000	12.000	1.000	1.000	1.000	1.000
17	4	143.000	12.500	0.857	2.031	0.492	0.800
18	1	739.500	11.500	1.000	1.000	1.000	1.000
19	6	565.333	13.333	1.000	1.291	0.775	0.800
20	6	68.000	16.000	0.809	2.082	0.480	0.857
21	1	283.500	14.500	1.000	1.000	1.000	1.000
22	1	120.500	15.500	1.000	1.000	1.000	1.000
23	3	616.167	15.833	1.000	1.464	0.683	0.857
24	1	1013.500	15.500	1.000	1.000	1.000	1.000
25	6	353.667	17.333	1.000	1.291	0.775	0.800
26	2	755.000	16.500	1.000	2.000	0.500	1.000
27	1	880.500	16.500	1.000	1.000	1.000	1.000
28	4	835.000	18.000	1.000	1.000	1.000	1.000
29	6	301.000	20.000	0.809	2.082	0.480	0.857
30	2	565.000	18.500	1.000	2.000	0.500	1.000
31	9	664.833	20.056	1.000	1.536	0.651	0.857
32	1	857.500	18.500	1.000	1.000	1.000	1.000
33	1	51.500	19.500	1.000	1.000	1.000	1.000
34	9	465.611	21.167	1.000	1.340	0.746	0.857
35	2	479.500	20.000	1.000	2.000	0.500	1.000
36	6	695.500	20.000	1.000	1.500	0.667	1.000
37	1	964.500	19.500	1.000	1.000	1.000	1.000
38	6	164.833	21.833	0.916	1.593	0.628	0.857
39	10	329.200	22.300	0.887	1.491	0.670	0.800
40	1	523.500	20.500	1.000	1.000	1.000	1.000
41	3	771.833	20.833	1.000	1.464	0.683	0.857
42	2	182.000	21.500	1.000	2.000	0.500	1.000
43	13	719.423	22.577	0.922	1.452	0.688	0.812
44	10	210.800	23.700	1.000	1.559	0.641	0.909
45	7	220.500	23.214	1.000	1.069	0.936	0.875
46	4	227.000	23.000	1.000	1.000	1.000	1.000
