 	Area	XM	YM	Circ.	AR	Round	Solidity
1	1	73.500	10.500	1.000	1.000	1.000	1.000
2	1	137.500	10.500	1.000	1.000	1.000	1.000
3	2	159.500	11.000	1.000	2.000	0.500	1.000
4	4	186.000	11.000	1.000	1.000	1.000	1.000
5	7	315.786	10.929	1.000	1.936	0.517	0.933
6	7	372.214	10.929	0.943	1.936	0.517	0.933
7	14	420.000	12.214	1.000	1.125	0.889	0.933
8	6	439.667	11.667	1.000	1.291	0.775	0.800
9	3	502.500	10.500	0.967	3.000	0.333	1.000
10	12	512.417	11.750	0.967	1.419	0.705	0.889
11	7	521.500	11.214	1.000	1.069	0.936	0.875
12	7	563.786	11.357	1.000	1.380	0.725	0.875
13	14	592.643	11.429	1.000	1.662	0.602	0.966
14	2	605.500	11.000	1.000	2.000	0.500	1.000
15	15	648.833	12.967	0.804	1.675	0.597	0.769
16	3	689.500	10.500	0.967	3.000	0.333	1.000
17	2	718.000	10.500	1.000	2.000	0.500	1.000
18	16	750.562	12.188	1.000	1.392	0.718	0.889
19	4	791.000	10.500	0.740	4.000	0.250	1.000
20	2	890.000	10.500	1.000	2.000	0.500	1.000
21	2	764.000	11.500	1.000	2.000	0.500	1.000
22	3	914.167	12.500	0.643	2.702	0.370	0.667
23	2	933.000	11.500	1.000	2.000	0.500	1.000
24	9	1002.833	12.611	1.000	1.340	0.746	0.857
25	6	1011.333	12.167	0.809	2.237	0.447	0.857
26	4	455.250	13.500	0.857	1.468	0.681	0.800
27	10	11.500	15.000	1.000	1.551	0.645	0.909
28	1	148.500	13.500	1.000	1.000	1.000	1.000
29	6	466.500	14.000	1.000	1.500	0.667	1.000
30	11	585.773	15.136	0.976	1.269	0.788	0.815
31	5	993.300	14.100	1.000	1.553	0.644	0.909
32	9	494.611	16.167	1.000	1.340	0.746	0.857
33	2	537.000	14.500	1.000	2.000	0.500	1.000
34	5	108.100	16.300	1.000	1.553	0.644	0.909
35	1	315.500	15.500	1.000	1.000	1.000	1.000
36	2	573.500	16.000	1.000	2.000	0.500	1.000
37	10	66.700	17.500	1.000	1.236	0.809	0.909
38	1	362.500	16.500	1.000	1.000	1.000	1.000
39	9	206.833	18.389	1.000	1.340	0.746	0.857
40	4	281.750	18.500	0.857	1.468	0.681	0.800
41	3	669.167	17.833	1.000	1.464	0.683	0.857
42	1	904.500	17.500	1.000	1.000	1.000	1.000
43	1	85.500	18.500	1.000	1.000	1.000	1.000
44	2	225.500	19.000	1.000	2.000	0.500	1.000
45	2	658.500	19.000	1.000	2.000	0.500	1.000
46	6	323.333	20.333	1.000	1.291	0.775	0.800
47	2	891.000	19.500	1.000	2.000	0.500	1.000
48	9	1008.167	21.611	1.000	1.340	0.746	0.857
49	15	460.500	23.433	0.942	1.416	0.706	0.789
50	8	593.250	22.250	0.914	1.416	0.706	0.800
51	1	642.500	21.500	1.000	1.000	1.000	1.000
52	6	1000.333	22.667	1.000	1.291	0.775	0.800
53	3	1013.500	22.500	0.809	3.000	0.333	1.000
54	2	511.000	22.500	1.000	2.000	0.500	1.000
55	2	709.000	23.500	1.000	2.000	0.500	1.000
56	5	197.900	25.300	0.764	2.188	0.457	0.769
57	1	231.500	24.500	1.000	1.000	1.000	1.000
58	2	779.500	25.000	1.000	2.000	0.500	1.000
59	4	927.500	24.750	1.000	1.468	0.681	0.800
60	2	46.500	26.000	1.000	2.000	0.500	1.000
61	7	375.500	26.214	1.000	1.069	0.936	0.875
62	3	813.167	26.167	1.000	1.464	0.683	0.857
63	7	961.357	26.214	0.718	2.423	0.413	0.824
64	11	739.409	27.864	1.000	1.372	0.729	0.957
65	1	300.500	27.500	1.000	1.000	1.000	1.000
66	11	553.864	28.409	1.000	1.372	0.729	0.957
67	2	755.000	27.500	1.000	2.000	0.500	1.000
68	2	158.000	28.500	1.000	2.000	0.500	1.000
69	1	763.500	28.500	1.000	1.000	1.000	1.000
70	2	112.500	30.000	1.000	2.000	0.500	1.000
71	6	321.000	29.833	0.916	1.809	0.553	0.857
72	6	588.000	30.167	0.916	1.809	0.553	0.857
73	6	873.000	30.000	0.916	2.082	0.480	0.857
74	7	270.071	31.786	0.898	1.668	0.600	0.778
75	1	1007.500	30.500	1.000	1.000	1.000	1.000
76	6	945.000	32.000	0.916	2.082	0.480	0.857
77	1	62.500	32.500	1.000	1.000	1.000	1.000
78	5	605.700	32.900	1.000	1.553	0.644	0.909
79	4	721.500	32.750	1.000	1.468	0.681	0.800
80	8	100.000	34.000	1.000	2.000	0.500	1.000
81	8	187.750	34.625	1.000	1.939	0.516	0.842
82	2	286.000	33.500	1.000	2.000	0.500	1.000
83	3	457.167	33.833	1.000	1.464	0.683	0.857
84	2	493.500	34.000	1.000	2.000	0.500	1.000
85	2	884.000	33.500	1.000	2.000	0.500	1.000
86	1	559.500	34.500	1.000	1.000	1.000	1.000
87	8	792.625	35.375	1.000	1.229	0.814	0.941
88	10	865.500	36.000	1.000	1.551	0.645	0.909
89	11	911.136	36.045	1.000	1.139	0.878	0.815
90	4	997.000	35.000	1.000	1.000	1.000	1.000
91	1	973.500	35.500	1.000	1.000	1.000	1.000
92	12	90.500	38.000	1.000	1.333	0.750	1.000
93	14	152.000	38.500	0.993	1.928	0.519	0.875
94	3	178.167	37.167	1.000	1.464	0.683	0.857
95	9	448.389	38.278	0.726	1.240	0.807	0.750
96	6	813.500	37.000	1.000	1.500	0.667	1.000
97	4	895.000	37.000	1.000	1.000	1.000	1.000
98	5	517.500	37.500	0.599	5.000	0.200	1.000
99	1	630.500	37.500	1.000	1.000	1.000	1.000
100	5	1004.900	38.700	1.000	1.553	0.644	0.909
101	4	341.000	40.000	1.000	1.000	1.000	1.000
102	2	663.500	40.000	1.000	2.000	0.500	1.000
103	14	702.214	40.929	0.993	1.563	0.640	0.848
104	15	735.100	42.233	0.804	1.445	0.692	0.789
105	3	981.833	40.167	1.000	1.464	0.683	0.857
106	10	1012.700	41.000	1.000	1.327	0.753	0.909
107	1	249.500	40.500	1.000	1.000	1.000	1.000
108	6	362.500	41.000	1.000	1.500	0.667	1.000
109	1	764.500	40.500	1.000	1.000	1.000	1.000
110	4	919.000	41.000	1.000	1.000	1.000	1.000
111	3	939.833	40.833	1.000	1.464	0.683	0.857
112	1	588.500	41.500	1.000	1.000	1.000	1.000
113	2	378.500	43.000	1.000	2.000	0.500	1.000
114	1	579.500	42.500	1.000	1.000	1.000	1.000
115	2	599.000	42.500	1.000	2.000	0.500	1.000
116	7	616.786	43.500	1.000	1.069	0.936	0.875
117	8	168.500	44.000	0.820	2.392	0.418	0.889
118	5	306.100	44.300	1.000	1.553	0.644	0.909
119	3	477.167	43.833	1.000	1.464	0.683	0.857
120	3	564.167	44.167	1.000	1.464	0.683	0.857
121	10	714.500	45.300	1.000	1.236	0.809	0.909
122	3	785.167	44.167	1.000	1.464	0.683	0.857
123	9	796.167	44.611	1.000	1.340	0.746	0.857
124	9	855.833	44.389	1.000	1.340	0.746	0.857
125	1	887.500	43.500	1.000	1.000	1.000	1.000
126	2	949.500	44.000	1.000	2.000	0.500	1.000
127	4	188.000	45.000	1.000	1.000	1.000	1.000
128	4	192.000	46.000	1.000	1.000	1.000	1.000
129	2	541.000	45.500	1.000	2.000	0.500	1.000
130	2	644.500	46.000	1.000	2.000	0.500	1.000
131	7	776.786	46.071	1.000	1.936	0.517	0.933
132	5	391.300	46.900	1.000	1.553	0.644	0.909
133	1	468.500	46.500	1.000	1.000	1.000	1.000
134	2	685.500	47.000	1.000	2.000	0.500	1.000
135	4	846.000	47.000	1.000	1.000	1.000	1.000
136	2	257.000	47.500	1.000	2.000	0.500	1.000
137	10	447.000	48.300	1.000	1.327	0.753	0.909
138	1	996.500	47.500	1.000	1.000	1.000	1.000
139	4	71.500	50.000	0.645	4.000	0.250	1.000
140	3	589.167	49.167	1.000	1.464	0.683	0.857
141	7	666.786	50.500	1.000	1.069	0.936	0.875
142	1	767.500	49.500	1.000	1.000	1.000	1.000
143	2	427.000	50.500	1.000	2.000	0.500	1.000
144	5	489.900	51.700	1.000	1.553	0.644	0.909
145	8	436.750	53.250	0.914	1.416	0.706	0.800
146	2	726.000	51.500	1.000	2.000	0.500	1.000
147	6	972.000	52.500	1.000	1.500	0.667	1.000
148	1	81.500	53.500	1.000	1.000	1.000	1.000
149	3	224.167	54.167	1.000	1.464	0.683	0.857
150	7	29.500	55.500	1.000	1.596	0.626	0.875
151	1	284.500	54.500	1.000	1.000	1.000	1.000
152	5	328.700	55.100	1.000	1.553	0.644	0.909
153	8	819.875	56.500	0.740	2.232	0.448	0.889
154	13	1000.885	55.885	1.000	1.159	0.863	0.897
155	7	63.786	56.500	1.000	1.069	0.936	0.875
156	1	168.500	55.500	1.000	1.000	1.000	1.000
157	3	749.833	56.167	1.000	1.464	0.683	0.857
158	1	760.500	55.500	1.000	1.000	1.000	1.000
159	3	777.167	55.833	1.000	1.464	0.683	0.857
160	4	151.000	57.000	1.000	1.000	1.000	1.000
161	6	276.833	58.333	0.809	2.237	0.447	0.857
162	14	581.643	58.071	0.993	1.883	0.531	0.848
163	6	865.500	57.000	1.000	1.500	0.667	1.000
164	9	93.389	58.833	1.000	1.340	0.746	0.857
165	1	236.500	57.500	1.000	1.000	1.000	1.000
166	2	468.500	58.000	1.000	2.000	0.500	1.000
167	1	592.500	57.500	1.000	1.000	1.000	1.000
168	2	790.500	58.000	1.000	2.000	0.500	1.000
169	1	142.500	58.500	1.000	1.000	1.000	1.000
170	1	267.500	58.500	1.000	1.000	1.000	1.000
171	7	73.500	61.214	0.800	2.339	0.427	0.778
172	3	313.833	60.167	1.000	1.464	0.683	0.857
173	2	602.500	60.000	1.000	2.000	0.500	1.000
174	2	194.000	60.500	1.000	2.000	0.500	1.000
175	5	352.700	61.100	1.000	1.553	0.644	0.909
176	2	559.500	61.000	1.000	2.000	0.500	1.000
177	2	839.000	60.500	1.000	2.000	0.500	1.000
178	1	924.500	60.500	1.000	1.000	1.000	1.000
179	7	876.786	62.071	1.000	1.936	0.517	0.933
180	5	889.700	62.700	0.873	2.308	0.433	0.769
181	9	333.833	63.389	1.000	1.340	0.746	0.857
182	3	976.167	63.167	1.000	1.464	0.683	0.857
183	6	985.000	63.500	1.000	1.500	0.667	1.000
184	4	259.000	64.000	1.000	1.000	1.000	1.000
185	8	442.375	64.625	1.000	1.229	0.814	0.941
186	8	595.000	66.000	1.000	2.000	0.500	1.000
187	3	202.167	66.833	1.000	1.464	0.683	0.857
188	6	236.000	67.167	0.916	1.809	0.553	0.857
189	5	697.700	66.900	1.000	1.553	0.644	0.909
190	7	166.214	67.929	0.943	1.936	0.517	0.933
191	1	251.500	67.500	1.000	1.000	1.000	1.000
192	11	373.409	68.864	1.000	1.372	0.729	0.957
193	13	471.808	68.500	0.956	1.551	0.645	0.929
194	3	701.833	68.167	1.000	1.464	0.683	0.857
195	8	800.750	68.125	0.914	1.435	0.697	0.842
196	6	863.667	68.333	1.000	1.291	0.775	0.800
197	7	896.929	68.786	0.943	1.936	0.517	0.933
198	11	346.864	69.409	1.000	1.372	0.729	0.957
199	10	451.700	69.500	1.000	1.236	0.809	0.909
200	17	530.324	69.794	0.713	2.470	0.405	0.773
201	8	652.125	69.750	1.000	1.605	0.623	0.800
202	2	1009.500	69.000	1.000	2.000	0.500	1.000
203	4	381.000	70.000	1.000	1.000	1.000	1.000
204	8	880.750	70.375	1.000	1.939	0.516	0.842
205	6	942.833	70.667	0.809	2.237	0.447	0.857
206	2	191.500	71.000	1.000	2.000	0.500	1.000
207	2	265.000	70.500	1.000	2.000	0.500	1.000
208	6	322.500	71.333	0.615	2.806	0.356	0.750
209	8	633.625	71.625	1.000	1.229	0.814	0.941
210	4	837.000	71.000	1.000	1.000	1.000	1.000
211	1	928.500	70.500	1.000	1.000	1.000	1.000
212	1	57.500	71.500	1.000	1.000	1.000	1.000
213	3	327.167	71.833	1.000	1.464	0.683	0.857
214	19	664.026	73.395	0.916	1.474	0.678	0.809
215	6	746.000	72.500	1.000	1.500	0.667	1.000
216	1	932.500	71.500	1.000	1.000	1.000	1.000
217	7	26.214	73.500	1.000	1.069	0.936	0.875
218	7	66.500	73.500	1.000	1.596	0.626	0.875
219	3	139.833	73.167	1.000	1.464	0.683	0.857
220	3	159.167	73.167	1.000	1.464	0.683	0.857
221	2	230.000	72.500	1.000	2.000	0.500	1.000
222	2	437.000	72.500	1.000	2.000	0.500	1.000
223	1	537.500	72.500	1.000	1.000	1.000	1.000
224	8	440.625	74.375	1.000	1.229	0.814	0.941
225	10	642.500	75.300	1.000	1.236	0.809	0.909
226	1	94.500	74.500	1.000	1.000	1.000	1.000
227	1	287.500	74.500	1.000	1.000	1.000	1.000
228	7	482.500	75.786	1.000	1.069	0.936	0.875
229	6	601.167	76.000	0.809	1.809	0.553	0.857
230	4	171.000	76.000	1.000	1.000	1.000	1.000
