 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	15.000	10.500	1.000	2.000	0.500	1.000
2	12	68.833	11.250	0.781	2.122	0.471	0.828
3	6	97.000	10.500	0.503	6.000	0.167	1.000
4	3	113.500	11.500	0.809	3.000	0.333	1.000
5	1	131.500	10.500	1.000	1.000	1.000	1.000
6	1	174.500	10.500	1.000	1.000	1.000	1.000
7	1	231.500	10.500	1.000	1.000	1.000	1.000
8	1	233.500	10.500	1.000	1.000	1.000	1.000
9	1	274.500	10.500	1.000	1.000	1.000	1.000
10	5	368.300	10.900	1.000	1.553	0.644	0.909
11	12	460.167	11.167	0.555	3.119	0.321	0.774
12	2	533.000	10.500	1.000	2.000	0.500	1.000
13	3	639.167	10.833	1.000	1.464	0.683	0.857
14	6	733.333	11.667	1.000	1.291	0.775	0.800
15	8	797.500	12.000	0.914	2.179	0.459	0.800
16	5	805.700	10.900	1.000	1.553	0.644	0.909
17	1	918.500	10.500	1.000	1.000	1.000	1.000
18	8	976.250	11.125	0.914	1.435	0.697	0.842
19	2	194.000	11.500	1.000	2.000	0.500	1.000
20	11	335.955	12.864	1.000	1.139	0.878	0.815
21	8	435.625	12.375	1.000	1.229	0.814	0.941
22	7	481.500	12.786	1.000	1.069	0.936	0.875
23	11	493.136	12.591	1.000	1.372	0.729	0.957
24	7	581.214	12.786	0.800	2.211	0.452	0.778
25	6	189.500	13.333	1.000	1.809	0.553	0.800
26	11	358.136	13.773	0.547	2.916	0.343	0.710
27	4	389.000	13.500	0.857	2.031	0.492	0.800
28	2	751.500	13.000	1.000	2.000	0.500	1.000
29	2	889.000	12.500	1.000	2.000	0.500	1.000
30	3	122.167	13.833	1.000	1.464	0.683	0.857
31	2	397.500	14.000	1.000	2.000	0.500	1.000
32	3	723.500	13.833	0.754	2.702	0.370	0.667
33	4	998.000	14.000	1.000	1.000	1.000	1.000
34	12	742.417	16.667	0.967	1.579	0.633	0.889
35	9	326.500	16.500	1.000	1.000	1.000	1.000
36	10	421.700	16.600	1.000	1.288	0.776	0.909
37	13	566.885	16.885	1.000	1.159	0.863	0.897
38	5	237.500	17.500	0.873	1.000	1.000	0.714
39	8	549.500	17.625	0.710	2.750	0.364	0.762
40	4	105.000	18.000	1.000	1.000	1.000	1.000
41	6	344.000	18.000	0.916	2.082	0.480	0.857
42	3	688.833	17.833	1.000	1.464	0.683	0.857
43	3	966.167	18.167	1.000	1.464	0.683	0.857
44	1	33.500	18.500	1.000	1.000	1.000	1.000
45	3	373.833	18.833	1.000	1.464	0.683	0.857
46	6	454.500	19.000	1.000	1.500	0.667	1.000
47	7	976.214	19.500	1.000	1.069	0.936	0.875
48	7	430.500	20.214	1.000	1.069	0.936	0.875
49	4	532.500	19.750	1.000	1.468	0.681	0.800
50	1	556.500	19.500	1.000	1.000	1.000	1.000
51	4	716.000	20.000	1.000	1.000	1.000	1.000
52	5	781.700	19.900	1.000	1.553	0.644	0.909
53	7	95.500	21.500	1.000	1.596	0.626	0.875
54	1	400.500	20.500	1.000	1.000	1.000	1.000
55	3	659.500	21.500	0.809	3.000	0.333	1.000
56	6	69.500	22.000	1.000	1.500	0.667	1.000
57	4	116.000	22.000	1.000	1.000	1.000	1.000
58	2	353.500	22.000	1.000	2.000	0.500	1.000
59	11	365.227	22.409	0.976	1.892	0.528	0.880
60	3	463.833	22.167	1.000	1.464	0.683	0.857
61	8	580.750	22.750	0.914	1.416	0.706	0.800
62	3	698.500	22.500	0.809	3.000	0.333	1.000
63	2	1005.500	22.000	1.000	2.000	0.500	1.000
64	10	334.500	24.000	1.000	1.551	0.645	0.909
65	7	382.500	23.214	1.000	1.069	0.936	0.875
66	2	397.500	23.000	1.000	2.000	0.500	1.000
67	6	411.000	23.500	1.000	1.500	0.667	1.000
68	12	542.000	24.000	0.695	2.283	0.438	0.706
69	2	937.000	22.500	1.000	2.000	0.500	1.000
70	10	476.700	24.500	1.000	1.236	0.809	0.909
71	4	227.000	25.000	1.000	1.000	1.000	1.000
72	8	562.750	26.125	0.914	1.605	0.623	0.800
73	1	769.500	24.500	1.000	1.000	1.000	1.000
74	2	11.000	25.500	1.000	2.000	0.500	1.000
75	1	26.500	25.500	1.000	1.000	1.000	1.000
76	1	246.500	25.500	1.000	1.000	1.000	1.000
77	7	344.214	26.500	1.000	1.069	0.936	0.875
78	5	524.300	26.100	1.000	1.553	0.644	0.909
79	2	751.500	26.000	1.000	2.000	0.500	1.000
80	2	421.500	27.000	1.000	2.000	0.500	1.000
81	1	505.500	26.500	1.000	1.000	1.000	1.000
82	12	572.000	28.167	1.000	1.281	0.781	0.857
83	6	720.500	27.000	1.000	1.500	0.667	1.000
84	7	903.500	27.786	1.000	1.069	0.936	0.875
85	6	55.500	28.000	1.000	1.500	0.667	1.000
86	6	299.667	28.667	1.000	1.291	0.775	0.800
87	13	375.115	29.269	1.000	1.093	0.915	0.897
88	8	291.000	30.500	0.740	2.392	0.418	0.889
89	6	553.500	29.000	1.000	1.500	0.667	1.000
90	4	779.750	29.500	0.857	1.468	0.681	0.800
91	2	846.000	28.500	1.000	2.000	0.500	1.000
92	9	932.833	29.611	1.000	1.340	0.746	0.857
93	4	1009.000	30.000	1.000	1.000	1.000	1.000
94	3	101.167	31.167	1.000	1.464	0.683	0.857
95	1	268.500	30.500	1.000	1.000	1.000	1.000
96	14	365.857	32.286	0.993	1.264	0.791	0.848
97	20	17.250	32.950	0.994	1.403	0.713	0.909
98	8	517.125	32.750	1.000	1.605	0.623	0.800
99	8	941.625	32.625	1.000	1.229	0.814	0.941
100	11	415.136	33.409	1.000	1.372	0.729	0.957
101	4	496.000	33.000	1.000	1.000	1.000	1.000
102	2	26.500	34.000	1.000	2.000	0.500	1.000
103	4	88.500	34.000	1.000	2.031	0.492	0.800
104	5	115.100	34.100	0.764	2.610	0.383	0.769
105	8	441.500	35.000	0.914	1.195	0.837	0.800
106	6	596.000	34.833	0.916	1.809	0.553	0.857
107	4	322.500	35.750	1.000	1.468	0.681	0.800
108	5	344.900	36.700	1.000	1.553	0.644	0.909
109	5	525.900	36.700	1.000	1.553	0.644	0.909
110	1	564.500	35.500	1.000	1.000	1.000	1.000
111	3	613.167	36.167	1.000	1.464	0.683	0.857
112	4	677.000	35.500	0.740	4.000	0.250	1.000
113	14	407.000	38.500	0.993	1.928	0.519	0.875
114	5	457.300	37.100	1.000	1.553	0.644	0.909
115	7	567.786	37.357	1.000	1.380	0.725	0.875
116	1	810.500	36.500	1.000	1.000	1.000	1.000
117	7	932.500	37.786	1.000	1.069	0.936	0.875
118	5	270.500	38.500	0.873	1.000	1.000	0.714
119	9	508.833	38.389	1.000	1.340	0.746	0.857
120	2	908.500	38.000	1.000	2.000	0.500	1.000
121	7	80.786	39.357	1.000	1.380	0.725	0.875
122	4	902.000	39.000	1.000	1.000	1.000	1.000
123	14	388.857	41.286	0.993	1.264	0.791	0.848
124	9	604.389	41.167	1.000	1.340	0.746	0.857
125	11	19.773	42.136	0.976	1.269	0.788	0.815
126	14	36.000	42.000	1.000	1.319	0.758	0.933
127	10	93.500	41.700	1.000	1.236	0.809	0.909
128	8	371.125	41.250	0.914	1.605	0.623	0.800
129	18	558.722	42.833	0.808	1.942	0.515	0.818
130	5	962.300	41.100	1.000	1.553	0.644	0.909
131	3	417.167	42.167	1.000	1.464	0.683	0.857
132	1	585.500	41.500	1.000	1.000	1.000	1.000
133	2	689.000	41.500	1.000	2.000	0.500	1.000
134	1	70.500	42.500	1.000	1.000	1.000	1.000
135	14	118.357	43.429	1.000	1.662	0.602	0.966
136	2	229.500	43.000	1.000	2.000	0.500	1.000
137	6	518.667	43.667	1.000	1.291	0.775	0.800
138	1	428.500	43.500	1.000	1.000	1.000	1.000
139	9	529.944	45.278	0.832	2.386	0.419	0.947
140	7	630.214	44.500	1.000	1.069	0.936	0.875
141	1	971.500	43.500	1.000	1.000	1.000	1.000
142	6	130.000	45.500	1.000	1.500	0.667	1.000
143	1	248.500	44.500	1.000	1.000	1.000	1.000
144	2	336.000	44.500	1.000	2.000	0.500	1.000
145	12	641.750	45.917	1.000	1.281	0.780	0.857
146	4	595.750	46.500	0.857	1.468	0.681	0.800
147	10	662.700	46.400	1.000	1.288	0.776	0.909
148	4	926.000	46.000	1.000	1.000	1.000	1.000
149	10	457.000	47.500	1.000	1.551	0.645	0.909
150	3	775.167	46.833	1.000	1.464	0.683	0.857
151	11	435.773	49.227	0.887	1.603	0.624	0.880
152	7	507.500	48.786	1.000	1.069	0.936	0.875
153	2	59.000	48.500	1.000	2.000	0.500	1.000
154	2	150.000	48.500	1.000	2.000	0.500	1.000
155	6	201.833	49.667	0.916	1.124	0.890	0.800
156	13	621.885	49.885	1.000	1.159	0.863	0.897
157	8	243.625	50.375	1.000	1.229	0.814	0.941
158	5	421.700	49.900	1.000	1.553	0.644	0.909
159	2	492.000	49.500	1.000	2.000	0.500	1.000
160	5	356.900	51.300	1.000	1.553	0.644	0.909
161	2	394.000	50.500	1.000	2.000	0.500	1.000
162	14	446.857	52.286	0.993	1.264	0.791	0.848
163	1	718.500	50.500	1.000	1.000	1.000	1.000
164	2	903.000	50.500	1.000	2.000	0.500	1.000
165	1	11.500	51.500	1.000	1.000	1.000	1.000
166	7	119.786	52.500	1.000	1.069	0.936	0.875
167	8	137.375	52.625	1.000	1.229	0.814	0.941
168	15	232.833	53.233	0.976	1.186	0.843	0.882
169	7	403.500	52.214	1.000	1.069	0.936	0.875
170	6	36.667	53.667	1.000	1.291	0.775	0.800
171	6	101.500	53.000	1.000	1.500	0.667	1.000
172	6	168.000	54.000	0.809	2.082	0.480	0.857
173	3	672.833	52.833	1.000	1.464	0.683	0.857
174	6	158.500	54.333	1.000	1.809	0.553	0.800
175	11	499.409	55.500	0.887	1.454	0.688	0.846
176	1	946.500	53.500	1.000	1.000	1.000	1.000
177	2	85.500	55.000	1.000	2.000	0.500	1.000
