 	Area	XM	YM	Circ.	AR	Round	Solidity
1	10	141.200	11.300	0.887	2.198	0.455	0.833
2	5	166.700	10.900	1.000	1.553	0.644	0.909
3	1	177.500	10.500	1.000	1.000	1.000	1.000
4	1	310.500	10.500	1.000	1.000	1.000	1.000
5	2	315.000	10.500	1.000	2.000	0.500	1.000
6	5	349.900	10.700	0.764	2.188	0.457	0.769
7	1	372.500	10.500	1.000	1.000	1.000	1.000
8	5	378.900	10.700	0.764	2.188	0.457	0.769
9	7	425.357	10.786	0.718	2.423	0.413	0.824
10	6	437.000	10.833	0.916	1.809	0.553	0.857
11	3	528.500	10.500	0.967	3.000	0.333	1.000
12	7	554.786	10.929	1.000	1.936	0.517	0.933
13	2	564.000	10.500	1.000	2.000	0.500	1.000
14	2	569.000	10.500	1.000	2.000	0.500	1.000
15	3	596.167	10.833	1.000	1.464	0.683	0.857
16	3	625.500	10.500	0.967	3.000	0.333	1.000
17	6	643.000	10.833	0.916	1.809	0.553	0.857
18	3	700.167	10.833	1.000	1.464	0.683	0.857
19	2	894.000	10.500	1.000	2.000	0.500	1.000
20	6	923.500	11.000	1.000	1.500	0.667	1.000
21	2	960.000	10.500	1.000	2.000	0.500	1.000
22	10	455.800	13.400	0.806	2.041	0.490	0.800
23	1	826.500	11.500	1.000	1.000	1.000	1.000
24	3	517.167	14.167	1.000	1.464	0.683	0.857
25	4	1009.000	14.000	1.000	1.000	1.000	1.000
26	1	80.500	14.500	1.000	1.000	1.000	1.000
27	5	254.500	15.700	0.873	1.496	0.668	0.714
28	2	716.500	15.000	1.000	2.000	0.500	1.000
29	2	273.000	15.500	1.000	2.000	0.500	1.000
30	2	978.000	15.500	1.000	2.000	0.500	1.000
31	8	149.375	18.500	0.645	2.750	0.364	0.762
32	2	296.000	16.500	1.000	2.000	0.500	1.000
33	18	507.667	18.778	1.000	1.220	0.819	0.857
34	4	606.000	17.000	1.000	1.000	1.000	1.000
35	1	966.500	16.500	1.000	1.000	1.000	1.000
36	6	545.500	18.000	1.000	1.500	0.667	1.000
37	2	709.500	18.000	1.000	2.000	0.500	1.000
38	3	764.167	18.167	1.000	1.464	0.683	0.857
39	5	852.300	18.100	1.000	1.553	0.644	0.909
40	5	859.700	18.100	1.000	1.553	0.644	0.909
41	3	871.833	18.167	1.000	1.464	0.683	0.857
42	2	55.500	19.000	1.000	2.000	0.500	1.000
43	3	423.833	19.167	1.000	1.464	0.683	0.857
44	8	161.000	20.500	1.000	1.195	0.837	0.800
45	5	461.100	20.300	1.000	1.553	0.644	0.909
46	4	579.250	20.500	0.857	1.468	0.681	0.800
47	2	916.500	20.000	1.000	2.000	0.500	1.000
48	8	724.375	21.375	1.000	1.229	0.814	0.941
49	1	436.500	21.500	1.000	1.000	1.000	1.000
50	2	928.500	22.000	1.000	2.000	0.500	1.000
51	4	553.000	23.000	1.000	1.000	1.000	1.000
52	11	661.045	24.136	1.000	1.139	0.878	0.815
53	4	953.250	23.500	0.857	1.468	0.681	0.800
