 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	17.500	11.000	1.000	2.000	0.500	1.000
2	4	256.000	10.500	0.740	4.000	0.250	1.000
3	5	272.500	10.500	0.599	5.000	0.200	1.000
4	2	339.500	11.000	1.000	2.000	0.500	1.000
5	4	361.500	10.750	1.000	1.468	0.681	0.800
6	6	367.500	11.000	1.000	1.500	0.667	1.000
7	8	407.500	10.875	0.820	2.232	0.448	0.889
8	2	418.000	10.500	1.000	2.000	0.500	1.000
9	12	529.583	12.250	0.967	1.419	0.705	0.889
10	9	577.833	10.722	0.498	3.934	0.254	0.783
11	2	671.000	10.500	1.000	2.000	0.500	1.000
12	1	762.500	10.500	1.000	1.000	1.000	1.000
13	2	847.000	10.500	1.000	2.000	0.500	1.000
14	1	977.500	10.500	1.000	1.000	1.000	1.000
15	1	376.500	11.500	1.000	1.000	1.000	1.000
16	5	1008.700	12.900	1.000	1.553	0.644	0.909
17	9	300.833	14.611	1.000	1.340	0.746	0.857
18	1	319.500	13.500	1.000	1.000	1.000	1.000
19	2	470.500	14.000	1.000	2.000	0.500	1.000
20	6	711.167	14.833	0.916	1.593	0.628	0.857
21	2	835.500	14.000	1.000	2.000	0.500	1.000
22	4	960.500	14.000	1.000	2.031	0.492	0.800
23	6	220.500	15.000	1.000	1.500	0.667	1.000
24	1	260.500	14.500	1.000	1.000	1.000	1.000
25	11	348.682	15.682	0.976	1.035	0.966	0.846
26	4	40.000	16.000	1.000	1.000	1.000	1.000
27	6	414.667	18.333	1.000	1.291	0.775	0.800
28	1	679.500	17.500	1.000	1.000	1.000	1.000
29	15	12.900	20.100	1.000	1.137	0.880	0.968
30	4	119.000	19.000	1.000	1.000	1.000	1.000
31	6	250.333	19.333	1.000	1.291	0.775	0.800
32	5	136.700	20.100	1.000	1.553	0.644	0.909
33	1	861.500	19.500	1.000	1.000	1.000	1.000
34	1	876.500	19.500	1.000	1.000	1.000	1.000
35	7	984.500	20.786	1.000	1.069	0.936	0.875
36	11	327.136	22.500	0.887	1.957	0.511	0.846
