 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	48.000	10.500	1.000	2.000	0.500	1.000
2	9	235.389	11.278	0.923	1.539	0.650	0.900
3	6	261.167	11.833	0.916	1.593	0.628	0.857
4	8	287.625	11.375	1.000	1.229	0.814	0.941
5	5	298.300	10.900	1.000	1.553	0.644	0.909
6	8	438.875	10.875	0.740	2.564	0.390	0.889
7	1	460.500	10.500	1.000	1.000	1.000	1.000
8	2	484.000	10.500	1.000	2.000	0.500	1.000
9	8	509.500	10.875	0.820	2.232	0.448	0.889
10	2	550.500	11.000	1.000	2.000	0.500	1.000
11	10	582.600	12.300	0.776	2.209	0.453	0.769
12	1	669.500	10.500	1.000	1.000	1.000	1.000
13	4	738.000	10.500	0.740	4.000	0.250	1.000
14	1	757.500	10.500	1.000	1.000	1.000	1.000
15	3	766.500	10.833	0.754	2.702	0.370	0.667
16	3	795.833	10.833	1.000	1.464	0.683	0.857
17	1	909.500	10.500	1.000	1.000	1.000	1.000
18	10	920.600	11.800	0.709	2.521	0.397	0.769
19	5	938.700	10.900	1.000	1.553	0.644	0.909
20	7	948.071	11.786	0.943	1.936	0.517	0.933
21	1	999.500	10.500	1.000	1.000	1.000	1.000
22	11	74.682	14.045	1.000	1.450	0.689	0.846
23	11	93.864	14.591	0.780	1.432	0.698	0.759
24	12	207.167	13.833	1.000	1.651	0.606	0.889
25	1	775.500	12.500	1.000	1.000	1.000	1.000
26	10	225.300	15.000	1.000	1.327	0.753	0.909
27	6	450.000	14.000	0.916	2.082	0.480	0.857
28	8	618.625	14.375	1.000	1.229	0.814	0.941
29	1	705.500	13.500	1.000	1.000	1.000	1.000
30	9	729.167	14.611	1.000	1.340	0.746	0.857
31	6	56.500	15.000	1.000	1.500	0.667	1.000
32	8	102.625	15.375	1.000	1.229	0.814	0.941
33	3	392.167	14.833	1.000	1.464	0.683	0.857
34	8	518.375	15.625	1.000	1.229	0.814	0.941
35	7	819.500	15.500	1.000	1.596	0.626	0.875
36	2	1007.500	15.000	1.000	2.000	0.500	1.000
37	2	84.500	16.000	1.000	2.000	0.500	1.000
38	10	123.100	17.000	0.982	1.238	0.808	0.769
39	8	788.375	16.375	1.000	1.229	0.814	0.941
40	5	44.300	17.100	1.000	1.553	0.644	0.909
41	5	527.100	17.700	1.000	1.553	0.644	0.909
42	1	682.500	16.500	1.000	1.000	1.000	1.000
43	2	65.500	18.000	1.000	2.000	0.500	1.000
44	3	323.833	17.833	1.000	1.464	0.683	0.857
45	2	930.000	17.500	1.000	2.000	0.500	1.000
46	11	437.864	19.409	1.000	1.372	0.729	0.957
47	10	509.700	19.900	0.650	2.512	0.398	0.769
48	1	643.500	18.500	1.000	1.000	1.000	1.000
49	1	234.500	19.500	1.000	1.000	1.000	1.000
50	1	542.500	19.500	1.000	1.000	1.000	1.000
51	1	557.500	19.500	1.000	1.000	1.000	1.000
52	7	671.929	21.214	0.943	1.936	0.517	0.933
53	1	713.500	19.500	1.000	1.000	1.000	1.000
54	2	739.500	20.000	1.000	2.000	0.500	1.000
55	3	911.833	20.167	1.000	1.464	0.683	0.857
56	4	458.000	21.000	1.000	1.000	1.000	1.000
57	5	798.900	21.300	1.000	1.553	0.644	0.909
58	4	940.000	21.000	1.000	1.000	1.000	1.000
59	16	14.062	24.125	0.857	1.661	0.602	0.821
60	2	374.000	21.500	1.000	2.000	0.500	1.000
61	11	723.045	22.864	1.000	1.139	0.878	0.815
62	1	998.500	21.500	1.000	1.000	1.000	1.000
63	1	363.500	22.500	1.000	1.000	1.000	1.000
64	2	777.500	23.000	1.000	2.000	0.500	1.000
65	5	98.100	24.300	1.000	1.553	0.644	0.909
66	10	414.300	24.500	1.000	1.236	0.809	0.909
67	8	448.000	24.000	1.000	2.000	0.500	1.000
68	6	693.667	24.167	0.916	1.124	0.890	0.800
