 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	23.100	10.700	0.764	2.188	0.457	0.769
2	4	30.000	10.500	0.740	4.000	0.250	1.000
3	2	63.000	10.500	1.000	2.000	0.500	1.000
4	8	84.500	10.875	0.820	2.232	0.448	0.889
5	2	125.000	10.500	1.000	2.000	0.500	1.000
6	3	145.500	10.500	0.967	3.000	0.333	1.000
7	1	162.500	10.500	1.000	1.000	1.000	1.000
8	16	191.062	12.750	1.000	1.234	0.810	0.889
9	2	203.000	10.500	1.000	2.000	0.500	1.000
10	2	269.000	10.500	1.000	2.000	0.500	1.000
11	6	340.000	10.833	0.916	1.809	0.553	0.857
12	3	348.500	10.500	0.967	3.000	0.333	1.000
13	2	358.000	10.500	1.000	2.000	0.500	1.000
14	2	491.000	10.500	1.000	2.000	0.500	1.000
15	5	543.700	10.900	1.000	1.553	0.644	0.909
16	4	590.500	10.750	1.000	1.468	0.681	0.800
17	14	689.000	11.786	1.000	1.020	0.981	0.933
18	11	717.045	11.045	0.715	2.053	0.487	0.815
19	3	818.833	10.833	1.000	1.464	0.683	0.857
20	4	863.250	11.500	0.857	1.468	0.681	0.800
21	8	607.375	12.625	1.000	1.229	0.814	0.941
22	1	847.500	11.500	1.000	1.000	1.000	1.000
23	8	966.375	12.625	1.000	1.229	0.814	0.941
24	7	992.500	12.214	1.000	1.069	0.936	0.875
25	15	1002.900	12.300	0.898	2.021	0.495	0.909
26	13	1011.731	12.654	0.956	1.796	0.557	0.929
27	1	680.500	12.500	1.000	1.000	1.000	1.000
28	12	728.833	14.417	0.967	1.218	0.821	0.889
29	8	172.375	14.375	1.000	1.229	0.814	0.941
30	2	775.000	13.500	1.000	2.000	0.500	1.000
31	1	806.500	13.500	1.000	1.000	1.000	1.000
32	1	100.500	15.500	1.000	1.000	1.000	1.000
33	6	425.500	16.667	1.000	1.809	0.553	0.800
34	1	554.500	15.500	1.000	1.000	1.000	1.000
35	5	163.300	17.100	1.000	1.553	0.644	0.909
36	1	643.500	16.500	1.000	1.000	1.000	1.000
37	8	44.625	18.625	1.000	1.229	0.814	0.941
38	3	220.833	18.167	1.000	1.464	0.683	0.857
39	1	382.500	17.500	1.000	1.000	1.000	1.000
40	4	626.000	18.000	1.000	1.000	1.000	1.000
41	2	200.500	19.000	1.000	2.000	0.500	1.000
42	4	438.000	19.000	1.000	1.000	1.000	1.000
43	4	749.000	19.000	1.000	1.000	1.000	1.000
44	7	546.786	20.500	1.000	1.069	0.936	0.875
45	11	326.136	21.409	1.000	1.372	0.729	0.957
46	4	558.000	21.500	0.857	2.031	0.492	0.800
47	3	768.833	21.167	1.000	1.464	0.683	0.857
48	11	1009.500	21.500	0.976	1.469	0.681	0.846
49	1	16.500	21.500	1.000	1.000	1.000	1.000
50	1	59.500	21.500	1.000	1.000	1.000	1.000
51	6	107.500	22.000	1.000	1.500	0.667	1.000
52	8	246.500	23.000	0.914	1.195	0.837	0.800
53	1	708.500	21.500	1.000	1.000	1.000	1.000
54	1	757.500	22.500	1.000	1.000	1.000	1.000
55	1	1000.500	22.500	1.000	1.000	1.000	1.000
56	3	350.167	23.833	1.000	1.464	0.683	0.857
57	1	529.500	23.500	1.000	1.000	1.000	1.000
58	5	779.500	24.500	0.873	1.000	1.000	0.714
59	5	89.700	24.900	1.000	1.553	0.644	0.909
60	5	136.100	25.300	1.000	1.553	0.644	0.909
61	1	436.500	24.500	1.000	1.000	1.000	1.000
62	1	472.500	24.500	1.000	1.000	1.000	1.000
63	1	174.500	25.500	1.000	1.000	1.000	1.000
64	2	303.000	26.500	1.000	2.000	0.500	1.000
65	7	377.357	27.071	0.718	2.731	0.366	0.824
66	8	720.625	27.375	1.000	1.229	0.814	0.941
67	12	834.167	27.750	0.781	2.122	0.471	0.828
68	1	886.500	26.500	1.000	1.000	1.000	1.000
69	1	404.500	28.500	1.000	1.000	1.000	1.000
70	14	392.143	31.500	0.993	1.604	0.623	0.848
71	1	201.500	30.500	1.000	1.000	1.000	1.000
72	7	1012.500	31.357	0.718	1.579	0.633	0.737
73	3	921.167	32.167	1.000	1.464	0.683	0.857
74	3	992.167	32.167	1.000	1.464	0.683	0.857
75	3	18.833	32.833	1.000	1.464	0.683	0.857
76	1	108.500	32.500	1.000	1.000	1.000	1.000
77	9	192.278	34.167	1.000	1.185	0.844	0.857
78	1	368.500	32.500	1.000	1.000	1.000	1.000
79	2	1002.000	32.500	1.000	2.000	0.500	1.000
80	1	183.500	33.500	1.000	1.000	1.000	1.000
81	15	820.900	36.300	0.804	2.183	0.458	0.857
