 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	16.000	10.500	1.000	2.000	0.500	1.000
2	1	33.500	10.500	1.000	1.000	1.000	1.000
3	3	97.500	10.500	0.967	3.000	0.333	1.000
4	3	137.167	10.833	1.000	1.464	0.683	0.857
5	1	174.500	10.500	1.000	1.000	1.000	1.000
6	4	178.000	10.500	0.740	4.000	0.250	1.000
7	5	307.500	10.500	0.599	5.000	0.200	1.000
8	2	316.000	10.500	1.000	2.000	0.500	1.000
9	6	348.000	10.500	0.503	6.000	0.167	1.000
10	26	414.346	14.269	0.260	4.966	0.201	0.486
11	3	472.500	10.500	0.967	3.000	0.333	1.000
12	9	503.389	11.278	0.923	1.539	0.650	0.900
13	8	524.875	11.125	0.645	2.648	0.378	0.762
14	3	547.500	10.500	0.967	3.000	0.333	1.000
15	8	571.750	10.625	0.443	4.730	0.211	0.727
16	3	641.500	10.500	0.967	3.000	0.333	1.000
17	5	755.500	10.500	0.599	5.000	0.200	1.000
18	4	804.000	10.500	0.740	4.000	0.250	1.000
19	3	836.500	11.167	0.754	2.702	0.370	0.667
20	4	865.750	11.500	0.857	1.468	0.681	0.800
21	5	937.300	11.100	1.000	1.553	0.644	0.909
22	2	214.000	11.500	1.000	2.000	0.500	1.000
23	3	553.167	11.833	1.000	1.464	0.683	0.857
24	1	595.500	11.500	1.000	1.000	1.000	1.000
25	8	1004.500	13.000	0.914	1.195	0.837	0.800
26	6	335.333	13.667	1.000	1.291	0.775	0.800
27	20	460.800	14.000	0.585	3.095	0.323	0.741
28	30	486.600	15.000	0.342	6.144	0.163	0.652
29	13	534.500	13.885	0.922	2.125	0.471	0.839
30	6	674.500	13.000	1.000	1.500	0.667	1.000
31	5	883.300	13.100	1.000	1.553	0.644	0.909
32	1	250.500	13.500	1.000	1.000	1.000	1.000
33	12	509.333	14.250	0.719	2.550	0.392	0.828
34	8	559.500	14.375	0.710	2.750	0.364	0.762
35	6	651.667	14.333	1.000	1.291	0.775	0.800
36	1	80.500	14.500	1.000	1.000	1.000	1.000
37	5	789.500	15.300	0.873	1.496	0.668	0.714
38	5	1013.100	15.300	1.000	1.553	0.644	0.909
39	4	12.000	16.000	1.000	1.000	1.000	1.000
40	1	441.500	15.500	1.000	1.000	1.000	1.000
41	3	683.833	15.833	1.000	1.464	0.683	0.857
42	7	873.786	16.500	1.000	1.069	0.936	0.875
43	10	357.000	17.300	1.000	1.327	0.753	0.909
44	1	62.500	17.500	1.000	1.000	1.000	1.000
45	9	403.056	18.833	1.000	1.536	0.651	0.857
46	3	517.500	17.500	0.967	3.000	0.333	1.000
47	12	544.917	18.333	0.883	1.679	0.596	0.923
48	1	724.500	17.500	1.000	1.000	1.000	1.000
49	1	744.500	17.500	1.000	1.000	1.000	1.000
50	9	305.167	19.611	1.000	1.340	0.746	0.857
51	8	472.500	19.000	0.820	2.392	0.418	0.889
52	4	827.000	19.000	1.000	1.000	1.000	1.000
53	12	374.333	20.583	1.000	1.579	0.633	0.889
54	8	501.625	20.375	1.000	1.229	0.814	0.941
55	6	525.500	20.333	1.000	1.809	0.553	0.800
56	9	572.722	19.944	0.832	2.386	0.419	0.947
57	1	476.500	20.500	1.000	1.000	1.000	1.000
58	17	554.088	21.971	0.609	3.066	0.326	0.791
59	2	121.500	22.000	1.000	2.000	0.500	1.000
60	12	456.583	22.417	0.967	1.939	0.516	0.889
61	10	482.000	22.500	1.000	1.551	0.645	0.909
62	16	534.438	23.375	0.719	2.097	0.477	0.800
63	18	412.333	24.167	1.000	1.372	0.729	0.947
64	8	315.625	24.875	0.820	1.767	0.566	0.842
65	19	361.342	25.658	1.000	1.161	0.861	0.884
66	15	463.233	24.567	0.746	2.688	0.372	0.857
67	17	512.559	24.912	0.609	3.221	0.310	0.756
68	15	443.900	26.100	1.000	1.137	0.880	0.968
69	21	490.738	26.167	0.614	3.226	0.310	0.808
70	13	564.500	26.115	1.000	2.125	0.471	0.839
71	1	129.500	25.500	1.000	1.000	1.000	1.000
72	5	422.100	26.300	0.764	2.188	0.457	0.769
73	8	751.125	25.875	0.820	2.564	0.390	0.889
74	9	817.611	26.833	1.000	1.340	0.746	0.857
75	4	107.500	27.250	1.000	1.468	0.681	0.800
76	1	393.500	26.500	1.000	1.000	1.000	1.000
77	15	544.633	27.833	0.804	2.089	0.479	0.789
78	6	633.667	27.667	1.000	1.291	0.775	0.800
79	3	730.167	27.167	1.000	1.464	0.683	0.857
80	3	938.833	26.833	1.000	1.464	0.683	0.857
81	8	521.625	28.250	0.710	2.885	0.347	0.727
82	1	807.500	27.500	1.000	1.000	1.000	1.000
83	16	371.125	30.438	0.927	1.617	0.619	0.842
