 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	19.500	10.500	0.967	3.000	0.333	1.000
2	2	28.500	11.000	1.000	2.000	0.500	1.000
3	2	46.000	10.500	1.000	2.000	0.500	1.000
4	3	67.500	10.500	0.967	3.000	0.333	1.000
5	7	90.214	10.929	0.943	1.936	0.517	0.933
6	5	105.900	10.700	0.764	2.188	0.457	0.769
7	3	126.500	10.500	0.967	3.000	0.333	1.000
8	4	234.500	10.750	1.000	1.468	0.681	0.800
9	7	244.214	10.929	0.943	1.936	0.517	0.933
10	4	299.000	11.000	1.000	1.000	1.000	1.000
11	3	325.500	10.500	0.967	3.000	0.333	1.000
12	9	520.056	11.722	0.799	1.986	0.504	0.720
13	1	550.500	10.500	1.000	1.000	1.000	1.000
14	1	600.500	10.500	1.000	1.000	1.000	1.000
15	2	750.000	10.500	1.000	2.000	0.500	1.000
16	3	761.167	11.167	1.000	1.464	0.683	0.857
17	3	800.500	10.500	0.967	3.000	0.333	1.000
18	1	969.500	10.500	1.000	1.000	1.000	1.000
19	6	983.000	10.833	0.916	1.809	0.553	0.857
20	3	993.500	10.500	0.967	3.000	0.333	1.000
21	1	640.500	11.500	1.000	1.000	1.000	1.000
22	5	896.700	11.900	1.000	1.553	0.644	0.909
23	1	951.500	12.500	1.000	1.000	1.000	1.000
24	9	255.167	14.944	1.000	1.536	0.651	0.857
25	2	367.500	14.000	1.000	2.000	0.500	1.000
26	11	502.409	15.318	0.976	1.772	0.564	0.846
27	12	528.583	15.833	1.000	1.218	0.821	0.889
28	5	609.100	15.300	1.000	1.553	0.644	0.909
29	8	907.375	15.375	1.000	1.229	0.814	0.941
30	13	726.731	16.038	0.666	3.340	0.299	0.963
31	4	743.000	16.000	1.000	1.000	1.000	1.000
32	8	179.375	17.375	1.000	1.229	0.814	0.941
33	7	318.786	17.500	1.000	1.069	0.936	0.875
34	1	377.500	16.500	1.000	1.000	1.000	1.000
35	5	418.700	17.100	1.000	1.553	0.644	0.909
36	8	683.375	17.125	0.820	1.767	0.566	0.842
37	11	1009.682	17.682	0.976	1.035	0.966	0.846
38	5	300.100	18.300	1.000	1.553	0.644	0.909
39	11	991.136	18.591	1.000	1.372	0.729	0.957
40	5	22.700	19.100	1.000	1.553	0.644	0.909
41	3	396.167	19.167	1.000	1.464	0.683	0.857
42	7	806.500	19.786	1.000	1.069	0.936	0.875
43	3	564.500	19.500	0.967	3.000	0.333	1.000
44	11	959.136	21.045	1.000	1.139	0.878	0.815
45	7	976.214	20.071	0.943	1.936	0.517	0.933
46	4	998.500	20.000	1.000	2.031	0.492	0.800
47	10	31.800	22.200	0.982	1.241	0.806	0.800
48	1	108.500	20.500	1.000	1.000	1.000	1.000
49	1	826.500	20.500	1.000	1.000	1.000	1.000
50	3	852.833	20.833	1.000	1.464	0.683	0.857
51	6	967.667	21.333	1.000	1.291	0.775	0.800
52	7	336.357	22.786	0.621	1.913	0.523	0.737
53	6	536.667	22.333	1.000	1.291	0.775	0.800
54	12	600.000	22.500	1.000	1.333	0.750	1.000
55	3	815.833	22.167	1.000	1.464	0.683	0.857
56	11	155.409	24.136	1.000	1.372	0.729	0.957
57	7	356.214	23.500	1.000	1.069	0.936	0.875
58	12	626.667	23.583	0.967	1.579	0.633	0.889
59	4	712.500	23.000	1.000	2.031	0.492	0.800
60	13	764.500	25.731	0.438	3.208	0.312	0.684
61	6	377.667	25.667	1.000	1.291	0.775	0.800
62	2	915.000	24.500	1.000	2.000	0.500	1.000
63	3	136.167	25.833	1.000	1.464	0.683	0.857
64	1	259.500	25.500	1.000	1.000	1.000	1.000
65	4	310.000	26.000	1.000	1.000	1.000	1.000
66	5	554.900	26.700	1.000	1.553	0.644	0.909
67	6	655.333	26.667	1.000	1.291	0.775	0.800
68	7	724.214	25.929	0.943	1.936	0.517	0.933
69	11	740.045	28.227	0.741	2.858	0.350	0.957
70	3	116.833	26.833	1.000	1.464	0.683	0.857
71	13	685.346	27.346	0.779	2.286	0.437	0.867
72	4	755.000	27.000	1.000	1.000	1.000	1.000
73	11	885.045	27.864	1.000	1.139	0.878	0.815
74	16	988.688	28.188	1.000	1.292	0.774	0.889
75	6	1007.500	27.667	1.000	1.809	0.553	0.800
76	10	74.000	28.300	1.000	1.327	0.753	0.909
77	4	295.500	28.000	1.000	2.031	0.492	0.800
78	14	981.000	29.000	1.000	1.319	0.758	0.933
79	2	12.000	28.500	1.000	2.000	0.500	1.000
80	2	80.000	28.500	1.000	2.000	0.500	1.000
81	2	164.500	29.000	1.000	2.000	0.500	1.000
82	2	480.500	29.000	1.000	2.000	0.500	1.000
83	3	563.833	29.167	1.000	1.464	0.683	0.857
84	5	696.700	28.900	1.000	1.553	0.644	0.909
85	3	971.833	29.167	1.000	1.464	0.683	0.857
86	7	997.786	29.500	1.000	1.069	0.936	0.875
87	1	442.500	29.500	1.000	1.000	1.000	1.000
88	6	776.333	32.667	1.000	1.291	0.775	0.800
89	4	848.500	33.000	0.645	4.000	0.250	1.000
90	2	175.500	33.000	1.000	2.000	0.500	1.000
91	2	434.000	33.500	1.000	2.000	0.500	1.000
92	2	897.000	33.500	1.000	2.000	0.500	1.000
93	6	381.333	35.333	1.000	1.291	0.775	0.800
94	1	552.500	34.500	1.000	1.000	1.000	1.000
95	5	222.900	36.700	1.000	1.553	0.644	0.909
96	15	465.167	36.433	0.898	1.869	0.535	0.909
97	4	927.000	36.000	1.000	1.000	1.000	1.000
98	4	1013.000	36.000	1.000	1.000	1.000	1.000
99	12	483.583	37.417	0.967	1.939	0.516	0.889
100	4	704.500	37.000	1.000	2.031	0.492	0.800
101	11	989.045	38.136	1.000	1.139	0.878	0.815
102	1	302.500	37.500	1.000	1.000	1.000	1.000
103	8	328.625	38.375	1.000	1.229	0.814	0.941
104	10	341.000	38.300	1.000	1.327	0.753	0.909
105	4	448.000	38.000	1.000	1.000	1.000	1.000
106	8	509.000	38.000	1.000	2.000	0.500	1.000
107	4	519.000	38.000	1.000	1.000	1.000	1.000
108	5	562.300	38.100	1.000	1.553	0.644	0.909
109	9	596.833	38.611	1.000	1.340	0.746	0.857
110	16	962.562	38.812	1.000	1.392	0.718	0.889
111	1	1003.500	37.500	1.000	1.000	1.000	1.000
112	4	580.250	39.500	0.857	1.468	0.681	0.800
113	9	609.167	39.389	1.000	1.340	0.746	0.857
114	3	880.167	39.167	1.000	1.464	0.683	0.857
115	7	293.929	41.786	0.943	1.936	0.517	0.933
116	1	108.500	41.500	1.000	1.000	1.000	1.000
117	1	713.500	41.500	1.000	1.000	1.000	1.000
118	6	772.000	42.500	1.000	1.500	0.667	1.000
119	3	809.833	41.833	1.000	1.464	0.683	0.857
120	8	91.000	43.500	1.000	1.195	0.837	0.800
121	4	350.000	43.000	1.000	1.000	1.000	1.000
122	1	750.500	42.500	1.000	1.000	1.000	1.000
123	3	176.167	43.833	1.000	1.464	0.683	0.857
124	4	312.000	44.000	1.000	1.000	1.000	1.000
125	3	83.167	45.167	1.000	1.464	0.683	0.857
126	6	192.500	45.000	1.000	1.500	0.667	1.000
127	3	211.500	44.500	0.967	3.000	0.333	1.000
128	10	970.300	46.900	0.887	1.587	0.630	0.800
129	7	154.214	46.929	0.943	1.936	0.517	0.933
130	1	188.500	46.500	1.000	1.000	1.000	1.000
131	7	446.071	47.786	0.943	1.936	0.517	0.933
132	5	512.900	47.300	1.000	1.553	0.644	0.909
133	1	517.500	46.500	1.000	1.000	1.000	1.000
134	4	569.750	47.250	0.857	2.000	0.500	0.800
135	8	659.625	47.375	1.000	1.229	0.814	0.941
136	4	952.000	47.000	1.000	1.000	1.000	1.000
137	4	985.000	47.000	1.000	1.000	1.000	1.000
138	18	740.667	49.722	0.868	1.357	0.737	0.800
139	12	100.333	49.583	1.000	1.579	0.633	0.889
140	13	202.654	50.038	0.922	1.416	0.706	0.812
141	2	293.500	49.000	1.000	2.000	0.500	1.000
142	1	324.500	48.500	1.000	1.000	1.000	1.000
143	3	502.833	48.833	1.000	1.464	0.683	0.857
144	9	690.389	49.833	1.000	1.340	0.746	0.857
145	12	707.417	49.250	0.967	1.756	0.570	0.889
146	1	500.500	49.500	1.000	1.000	1.000	1.000
147	9	623.167	50.389	1.000	1.340	0.746	0.857
148	14	721.357	50.571	1.000	1.662	0.602	0.966
149	9	425.389	51.389	0.923	1.343	0.745	0.857
150	3	536.833	50.833	1.000	1.464	0.683	0.857
151	2	579.500	51.000	1.000	2.000	0.500	1.000
152	10	752.000	51.700	1.000	1.384	0.723	0.909
153	5	890.700	50.900	1.000	1.553	0.644	0.909
154	7	128.071	53.214	0.943	1.936	0.517	0.933
155	5	145.900	52.700	1.000	1.553	0.644	0.909
156	5	596.300	53.100	1.000	1.553	0.644	0.909
157	3	874.833	52.833	1.000	1.464	0.683	0.857
158	4	61.000	54.000	1.000	1.000	1.000	1.000
159	11	309.045	54.682	0.976	1.450	0.689	0.846
