 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	36.500	10.875	0.820	2.232	0.448	0.889
2	1	81.500	10.500	1.000	1.000	1.000	1.000
3	3	129.500	10.500	0.967	3.000	0.333	1.000
4	5	144.500	10.500	0.599	5.000	0.200	1.000
5	1	159.500	10.500	1.000	1.000	1.000	1.000
6	10	239.200	11.500	0.650	2.148	0.465	0.714
7	1	266.500	10.500	1.000	1.000	1.000	1.000
8	2	302.000	10.500	1.000	2.000	0.500	1.000
9	2	307.000	10.500	1.000	2.000	0.500	1.000
10	13	425.885	11.885	1.000	1.159	0.863	0.897
11	5	435.700	10.900	1.000	1.553	0.644	0.909
12	2	444.000	10.500	1.000	2.000	0.500	1.000
13	5	508.300	10.900	1.000	1.553	0.644	0.909
14	5	544.900	11.300	1.000	1.553	0.644	0.909
15	6	627.000	10.833	0.916	1.809	0.553	0.857
16	4	658.250	10.750	1.000	2.000	0.500	0.800
17	1	716.500	10.500	1.000	1.000	1.000	1.000
18	3	828.500	10.500	0.967	3.000	0.333	1.000
19	1	904.500	10.500	1.000	1.000	1.000	1.000
20	14	920.571	11.643	0.993	1.601	0.625	0.848
21	7	939.214	10.929	0.943	1.936	0.517	0.933
22	2	971.000	10.500	1.000	2.000	0.500	1.000
23	17	999.912	12.618	1.000	1.263	0.792	0.919
24	9	695.056	12.167	1.000	1.536	0.651	0.857
25	1	765.500	11.500	1.000	1.000	1.000	1.000
26	8	1009.625	12.625	1.000	1.229	0.814	0.941
27	7	707.786	13.071	1.000	1.936	0.517	0.933
28	13	820.731	13.885	1.000	1.093	0.915	0.897
29	4	836.000	13.000	1.000	1.000	1.000	1.000
30	6	877.333	14.333	0.686	2.391	0.418	0.706
31	4	225.000	15.000	1.000	1.000	1.000	1.000
32	4	565.500	14.750	1.000	1.468	0.681	0.800
33	14	593.643	15.429	1.000	1.662	0.602	0.966
34	7	745.786	15.500	1.000	1.069	0.936	0.875
35	5	367.100	16.300	1.000	1.553	0.644	0.909
36	3	377.167	16.167	1.000	1.464	0.683	0.857
37	7	528.214	16.929	0.800	1.668	0.600	0.778
38	13	722.731	16.885	1.000	1.093	0.915	0.897
39	14	793.357	16.429	1.000	1.662	0.602	0.966
40	10	888.500	17.000	1.000	1.551	0.645	0.909
41	8	900.125	17.875	0.740	2.564	0.390	0.889
42	14	328.714	17.857	0.993	1.264	0.791	0.848
43	6	104.000	18.500	1.000	1.500	0.667	1.000
44	6	185.500	18.000	1.000	1.500	0.667	1.000
45	10	234.500	20.000	1.000	1.551	0.645	0.909
46	4	401.000	19.000	1.000	1.000	1.000	1.000
47	1	435.500	18.500	1.000	1.000	1.000	1.000
48	1	857.500	18.500	1.000	1.000	1.000	1.000
49	9	850.611	21.278	1.000	1.539	0.650	0.900
50	7	497.500	22.214	1.000	1.069	0.936	0.875
51	3	867.167	22.167	1.000	1.464	0.683	0.857
52	7	976.214	22.929	0.800	1.668	0.600	0.778
53	14	518.000	24.000	1.000	1.319	0.758	0.933
54	3	691.167	23.167	1.000	1.464	0.683	0.857
55	2	917.500	23.000	1.000	2.000	0.500	1.000
56	2	175.000	23.500	1.000	2.000	0.500	1.000
57	6	467.333	24.333	1.000	1.291	0.775	0.800
58	8	479.375	24.375	1.000	1.229	0.814	0.941
59	5	788.100	24.300	1.000	1.553	0.644	0.909
60	7	824.786	23.929	1.000	1.936	0.517	0.933
61	4	242.000	25.000	1.000	1.000	1.000	1.000
62	3	340.833	25.167	1.000	1.464	0.683	0.857
63	4	401.000	25.000	1.000	1.000	1.000	1.000
64	5	541.300	24.900	1.000	1.553	0.644	0.909
65	1	933.500	24.500	1.000	1.000	1.000	1.000
66	1	46.500	25.500	1.000	1.000	1.000	1.000
67	4	320.000	26.000	1.000	1.000	1.000	1.000
68	4	597.000	26.000	1.000	1.000	1.000	1.000
69	9	639.944	26.611	1.000	1.817	0.550	0.857
70	1	935.500	25.500	1.000	1.000	1.000	1.000
71	3	331.833	26.833	1.000	1.464	0.683	0.857
72	2	725.500	27.000	1.000	2.000	0.500	1.000
73	5	19.500	28.500	0.873	1.000	1.000	0.714
74	1	185.500	27.500	1.000	1.000	1.000	1.000
75	8	298.125	28.750	0.914	1.435	0.697	0.842
76	2	809.500	28.000	1.000	2.000	0.500	1.000
77	3	990.500	28.500	0.809	3.000	0.333	1.000
78	9	353.611	30.167	1.000	1.340	0.746	0.857
79	5	1006.100	29.700	1.000	1.553	0.644	0.909
80	7	147.786	30.500	1.000	1.069	0.936	0.875
81	1	428.500	30.500	1.000	1.000	1.000	1.000
82	9	669.056	32.278	0.799	1.709	0.585	0.750
83	5	678.900	31.700	1.000	1.553	0.644	0.909
84	4	815.000	30.500	0.740	4.000	0.250	1.000
85	1	170.500	31.500	1.000	1.000	1.000	1.000
86	7	382.500	32.214	1.000	1.069	0.936	0.875
87	2	584.000	31.500	1.000	2.000	0.500	1.000
88	7	660.214	32.500	1.000	1.069	0.936	0.875
89	8	852.375	32.375	1.000	1.229	0.814	0.941
90	14	862.000	33.214	1.000	1.125	0.889	0.933
91	6	316.833	34.833	0.916	1.593	0.628	0.857
92	11	519.045	35.136	1.000	1.139	0.878	0.815
93	2	951.000	34.000	0.785	2.646	0.378	0.667
94	7	981.929	34.786	0.943	1.936	0.517	0.933
95	4	339.000	35.000	1.000	1.000	1.000	1.000
96	2	474.500	35.000	1.000	2.000	0.500	1.000
97	5	875.100	35.700	1.000	1.553	0.644	0.909
98	8	241.375	36.625	1.000	1.229	0.814	0.941
99	7	638.500	36.786	1.000	1.069	0.936	0.875
100	7	708.214	36.643	1.000	1.380	0.725	0.875
101	5	927.900	36.300	1.000	1.553	0.644	0.909
102	8	81.625	37.375	1.000	1.229	0.814	0.941
103	4	625.000	37.000	1.000	1.000	1.000	1.000
104	16	350.000	39.500	1.000	1.209	0.827	0.889
105	11	392.045	39.318	0.976	1.450	0.689	0.846
106	3	754.833	38.167	1.000	1.464	0.683	0.857
107	20	369.150	40.950	0.994	1.568	0.638	0.909
108	11	578.682	39.682	0.976	1.035	0.966	0.846
109	6	253.500	40.000	1.000	1.500	0.667	1.000
110	4	654.500	39.750	1.000	1.468	0.681	0.800
111	5	830.700	40.500	0.873	1.496	0.668	0.714
112	1	1004.500	39.500	1.000	1.000	1.000	1.000
113	3	674.833	40.833	1.000	1.464	0.683	0.857
114	2	883.000	40.500	1.000	2.000	0.500	1.000
115	7	33.357	42.643	0.800	1.571	0.636	0.737
116	9	265.944	43.278	0.832	2.386	0.419	0.947
117	11	284.591	43.136	1.000	1.372	0.729	0.957
118	1	438.500	41.500	1.000	1.000	1.000	1.000
119	10	408.000	43.700	1.000	1.384	0.723	0.909
120	2	469.000	42.500	1.000	2.000	0.500	1.000
121	10	682.700	43.500	1.000	1.236	0.809	0.909
122	12	721.750	44.083	1.000	1.281	0.780	0.857
123	6	793.000	43.500	1.000	1.500	0.667	1.000
