 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	38.500	10.500	0.967	3.000	0.333	1.000
2	7	51.500	11.500	1.000	1.596	0.626	0.875
3	5	64.500	10.500	0.599	5.000	0.200	1.000
4	2	151.500	11.000	1.000	2.000	0.500	1.000
5	4	186.500	10.750	1.000	1.468	0.681	0.800
6	1	329.500	10.500	1.000	1.000	1.000	1.000
7	3	400.500	10.500	0.967	3.000	0.333	1.000
8	6	504.000	10.833	0.916	1.809	0.553	0.857
9	3	521.500	10.500	0.967	3.000	0.333	1.000
10	11	562.864	11.409	1.000	1.372	0.729	0.957
11	2	608.000	10.500	1.000	2.000	0.500	1.000
12	8	617.500	10.875	0.820	2.232	0.448	0.889
13	4	715.000	11.000	1.000	1.000	1.000	1.000
14	3	754.500	10.500	0.967	3.000	0.333	1.000
15	2	771.000	10.500	1.000	2.000	0.500	1.000
16	3	790.500	10.500	0.967	3.000	0.333	1.000
17	6	881.000	10.833	0.916	1.809	0.553	0.857
18	2	901.000	10.500	1.000	2.000	0.500	1.000
19	6	179.333	12.667	1.000	1.291	0.775	0.800
20	3	695.500	12.500	0.809	3.000	0.333	1.000
21	8	1012.375	12.250	0.820	1.540	0.649	0.800
22	1	59.500	13.500	1.000	1.000	1.000	1.000
23	4	978.000	14.000	1.000	1.000	1.000	1.000
24	6	31.000	15.500	1.000	1.500	0.667	1.000
25	2	198.000	14.500	1.000	2.000	0.500	1.000
26	4	341.000	15.000	1.000	1.000	1.000	1.000
27	1	441.500	14.500	1.000	1.000	1.000	1.000
28	7	474.500	15.214	1.000	1.069	0.936	0.875
29	1	666.500	14.500	1.000	1.000	1.000	1.000
30	4	312.000	16.000	1.000	1.000	1.000	1.000
31	20	366.750	17.500	0.657	1.773	0.564	0.702
32	1	946.500	15.500	1.000	1.000	1.000	1.000
33	8	966.000	16.000	1.000	2.000	0.500	1.000
34	5	227.100	17.700	1.000	1.553	0.644	0.909
35	9	454.611	18.167	1.000	1.340	0.746	0.857
36	8	517.000	17.500	1.000	1.195	0.837	0.800
37	11	697.500	20.136	0.405	4.389	0.228	0.647
38	8	739.375	18.625	1.000	1.229	0.814	0.941
39	3	46.833	19.167	1.000	1.464	0.683	0.857
40	6	87.333	19.667	1.000	1.291	0.775	0.800
41	6	432.667	19.667	1.000	1.291	0.775	0.800
42	8	504.750	19.750	0.914	1.416	0.706	0.800
43	1	658.500	18.500	1.000	1.000	1.000	1.000
44	5	854.100	19.300	1.000	1.553	0.644	0.909
45	3	415.833	20.167	1.000	1.464	0.683	0.857
46	3	401.500	20.500	0.967	3.000	0.333	1.000
47	7	779.500	21.500	1.000	1.596	0.626	0.875
48	15	927.833	23.033	0.976	1.392	0.718	0.882
49	6	1013.167	23.000	0.809	1.809	0.553	0.857
50	2	23.000	22.500	1.000	2.000	0.500	1.000
51	5	160.900	23.700	1.000	1.553	0.644	0.909
52	5	179.700	22.900	1.000	1.553	0.644	0.909
53	1	187.500	22.500	1.000	1.000	1.000	1.000
54	10	578.500	24.000	0.776	1.894	0.528	0.714
55	8	687.625	23.375	1.000	1.229	0.814	0.941
56	2	54.000	23.500	1.000	2.000	0.500	1.000
57	4	307.000	24.000	1.000	1.000	1.000	1.000
58	3	335.167	23.833	1.000	1.464	0.683	0.857
59	2	898.500	24.000	1.000	2.000	0.500	1.000
60	8	95.375	25.375	1.000	1.229	0.814	0.941
61	5	142.900	25.300	1.000	1.553	0.644	0.909
62	8	215.375	25.375	1.000	1.229	0.814	0.941
63	9	344.389	26.167	1.000	1.340	0.746	0.857
64	12	552.417	26.167	0.967	1.218	0.821	0.889
65	1	959.500	24.500	1.000	1.000	1.000	1.000
66	1	965.500	24.500	1.000	1.000	1.000	1.000
67	1	968.500	24.500	1.000	1.000	1.000	1.000
68	2	521.000	25.500	1.000	2.000	0.500	1.000
69	3	540.833	26.167	1.000	1.464	0.683	0.857
70	11	845.136	26.591	1.000	1.372	0.729	0.957
71	3	104.833	27.167	1.000	1.464	0.683	0.857
72	6	353.333	27.167	0.916	1.124	0.890	0.800
73	1	370.500	26.500	1.000	1.000	1.000	1.000
74	1	625.500	26.500	1.000	1.000	1.000	1.000
75	3	771.833	27.167	1.000	1.464	0.683	0.857
76	1	80.500	27.500	1.000	1.000	1.000	1.000
77	1	245.500	27.500	1.000	1.000	1.000	1.000
78	13	170.038	30.192	0.922	1.223	0.817	0.812
79	1	513.500	28.500	1.000	1.000	1.000	1.000
80	2	713.000	28.500	1.000	2.000	0.500	1.000
81	4	458.000	30.000	1.000	1.000	1.000	1.000
82	2	588.500	30.000	1.000	2.000	0.500	1.000
83	2	743.500	30.000	1.000	2.000	0.500	1.000
84	2	869.500	30.000	1.000	2.000	0.500	1.000
85	7	1002.786	30.071	1.000	1.936	0.517	0.933
86	3	187.833	31.167	1.000	1.464	0.683	0.857
87	1	314.500	31.500	1.000	1.000	1.000	1.000
88	7	575.214	32.500	1.000	1.069	0.936	0.875
89	1	689.500	31.500	1.000	1.000	1.000	1.000
90	9	1012.722	32.611	0.923	1.539	0.650	0.900
91	7	21.214	34.071	0.800	1.668	0.600	0.778
92	3	437.833	32.833	1.000	1.464	0.683	0.857
93	2	880.500	34.000	1.000	2.000	0.500	1.000
94	5	75.500	35.500	0.873	1.000	1.000	0.714
95	8	160.375	35.625	1.000	1.229	0.814	0.941
96	8	217.125	35.250	0.914	1.605	0.623	0.800
97	4	422.500	34.750	1.000	1.468	0.681	0.800
98	2	891.000	34.500	1.000	2.000	0.500	1.000
99	8	139.000	36.000	1.000	2.000	0.500	1.000
100	1	236.500	35.500	1.000	1.000	1.000	1.000
101	7	536.500	36.500	1.000	1.596	0.626	0.875
102	5	59.100	37.700	1.000	1.553	0.644	0.909
103	6	355.500	37.333	1.000	1.809	0.553	0.800
104	2	731.000	37.000	0.785	2.646	0.378	0.667
105	6	329.000	38.500	1.000	1.500	0.667	1.000
106	6	705.000	38.000	0.916	2.082	0.480	0.857
107	3	795.500	37.500	0.967	3.000	0.333	1.000
108	5	816.300	38.500	0.873	1.496	0.668	0.714
109	6	476.500	39.000	1.000	1.500	0.667	1.000
110	2	244.500	41.000	1.000	2.000	0.500	1.000
111	12	464.500	42.000	1.000	1.333	0.750	1.000
112	16	985.000	41.250	0.573	3.016	0.332	0.780
113	2	47.500	42.000	1.000	2.000	0.500	1.000
114	5	739.900	42.700	1.000	1.553	0.644	0.909
115	2	864.000	41.500	1.000	2.000	0.500	1.000
116	1	151.500	42.500	1.000	1.000	1.000	1.000
117	16	401.188	44.188	0.857	1.788	0.559	0.800
118	16	36.312	44.500	0.885	1.873	0.534	0.941
119	7	218.071	44.786	0.943	1.936	0.517	0.933
120	1	410.500	44.500	1.000	1.000	1.000	1.000
121	5	591.700	45.100	1.000	1.553	0.644	0.909
122	2	608.000	44.500	1.000	2.000	0.500	1.000
123	10	15.700	46.700	0.553	2.537	0.394	0.714
124	10	375.500	47.000	1.000	1.551	0.645	0.909
125	2	279.500	47.000	1.000	2.000	0.500	1.000
126	1	335.500	46.500	1.000	1.000	1.000	1.000
127	1	771.500	46.500	1.000	1.000	1.000	1.000
128	7	103.500	48.786	1.000	1.069	0.936	0.875
129	2	437.500	48.000	1.000	2.000	0.500	1.000
130	3	682.833	48.167	1.000	1.464	0.683	0.857
131	1	709.500	47.500	1.000	1.000	1.000	1.000
132	6	349.667	49.333	1.000	1.291	0.775	0.800
133	2	690.500	49.000	1.000	2.000	0.500	1.000
134	7	900.214	49.500	1.000	1.069	0.936	0.875
135	3	189.833	50.167	1.000	1.464	0.683	0.857
136	7	610.500	50.500	1.000	1.596	0.626	0.875
137	6	720.500	50.000	1.000	1.500	0.667	1.000
138	1	794.500	49.500	1.000	1.000	1.000	1.000
139	9	825.167	51.056	1.000	1.536	0.651	0.857
