 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	62.100	11.300	1.000	1.553	0.644	0.909
2	10	107.000	11.300	1.000	1.327	0.753	0.909
3	6	161.000	11.000	0.916	2.082	0.480	0.857
4	2	229.000	10.500	1.000	2.000	0.500	1.000
5	1	246.500	10.500	1.000	1.000	1.000	1.000
6	15	329.100	12.900	0.804	1.704	0.587	0.811
7	12	340.417	11.250	0.967	1.756	0.570	0.889
8	5	470.500	10.500	0.599	5.000	0.200	1.000
9	19	498.553	11.395	0.289	5.370	0.186	0.594
10	11	519.227	10.955	0.741	2.858	0.350	0.957
11	15	547.833	11.433	0.976	1.869	0.535	0.909
12	5	570.500	10.500	0.599	5.000	0.200	1.000
13	3	672.500	10.500	0.967	3.000	0.333	1.000
14	14	684.429	11.214	0.549	3.037	0.329	0.778
15	9	727.833	10.833	0.662	2.779	0.360	0.857
16	2	739.000	10.500	1.000	2.000	0.500	1.000
17	4	771.000	10.500	0.740	4.000	0.250	1.000
18	4	820.500	10.750	1.000	1.468	0.681	0.800
19	1	869.500	10.500	1.000	1.000	1.000	1.000
20	1	910.500	10.500	1.000	1.000	1.000	1.000
21	8	219.375	12.625	1.000	1.229	0.814	0.941
22	4	455.250	12.500	0.857	1.468	0.681	0.800
23	9	758.500	12.500	1.000	1.000	1.000	1.000
24	2	957.000	11.500	1.000	2.000	0.500	1.000
25	1	179.500	12.500	1.000	1.000	1.000	1.000
26	7	25.500	14.214	1.000	1.069	0.936	0.875
27	4	237.000	14.000	1.000	1.000	1.000	1.000
28	5	255.100	14.700	1.000	1.553	0.644	0.909
29	3	481.167	13.833	1.000	1.464	0.683	0.857
30	9	528.833	14.389	1.000	1.340	0.746	0.857
31	1	505.500	14.500	1.000	1.000	1.000	1.000
32	1	794.500	14.500	1.000	1.000	1.000	1.000
33	2	187.500	16.000	1.000	2.000	0.500	1.000
34	2	376.000	15.500	1.000	2.000	0.500	1.000
35	6	442.500	16.000	1.000	1.500	0.667	1.000
36	3	856.833	16.167	1.000	1.464	0.683	0.857
37	7	402.071	17.357	0.800	2.041	0.490	0.778
38	5	419.700	17.100	1.000	1.553	0.644	0.909
39	11	464.227	17.500	0.976	1.714	0.583	0.846
40	2	537.000	16.500	1.000	2.000	0.500	1.000
41	7	561.786	17.071	1.000	1.936	0.517	0.933
42	22	749.364	18.136	0.922	1.676	0.597	0.898
43	4	348.500	19.000	0.645	4.000	0.250	1.000
44	3	734.500	18.500	0.809	3.000	0.333	1.000
45	3	766.167	17.833	1.000	1.464	0.683	0.857
46	9	994.389	18.944	1.000	1.817	0.550	0.857
47	11	228.409	19.864	1.000	1.372	0.729	0.957
48	14	544.643	19.429	1.000	1.662	0.602	0.966
49	2	598.000	18.500	1.000	2.000	0.500	1.000
50	7	246.214	20.500	1.000	1.069	0.936	0.875
51	2	813.500	20.000	1.000	2.000	0.500	1.000
52	1	914.500	19.500	1.000	1.000	1.000	1.000
53	2	923.500	20.000	1.000	2.000	0.500	1.000
54	12	339.500	21.667	0.931	1.186	0.843	0.800
55	15	453.567	21.767	1.000	1.435	0.697	0.882
56	4	473.000	21.000	1.000	1.000	1.000	1.000
57	2	496.000	20.500	1.000	2.000	0.500	1.000
58	1	702.500	20.500	1.000	1.000	1.000	1.000
59	10	724.700	21.500	1.000	1.236	0.809	0.909
60	6	978.000	21.500	1.000	1.500	0.667	1.000
61	1	160.500	21.500	1.000	1.000	1.000	1.000
62	2	143.000	22.500	1.000	2.000	0.500	1.000
63	5	180.100	23.300	1.000	1.553	0.644	0.909
