 	Area	XM	YM	Circ.	AR	Round	Solidity
1463	2	761.000	356.500	1.000	2.000	0.500	1.000
1464	1	15.500	357.500	1.000	1.000	1.000	1.000
1465	16	39.812	359.375	0.927	1.076	0.929	0.821
1466	5	459.300	357.900	1.000	1.553	0.644	0.909
1467	12	779.083	359.250	1.000	1.281	0.780	0.857
1468	2	62.500	359.000	1.000	2.000	0.500	1.000
1469	11	530.955	359.227	0.809	1.915	0.522	0.880
1470	2	682.500	359.000	1.000	2.000	0.500	1.000
1471	17	795.382	360.618	0.763	2.144	0.466	0.791
1472	2	835.000	358.500	1.000	2.000	0.500	1.000
1473	2	1006.500	359.000	1.000	2.000	0.500	1.000
1474	14	97.286	361.143	1.000	1.264	0.791	0.848
1475	6	234.667	360.167	0.916	2.237	0.447	0.857
1476	5	255.300	360.100	1.000	1.553	0.644	0.909
1477	2	630.000	360.000	0.785	2.646	0.378	0.667
1478	9	123.056	361.389	1.000	1.817	0.550	0.857
1479	11	180.591	361.318	0.887	1.772	0.564	0.846
1480	5	287.900	361.300	1.000	1.553	0.644	0.909
1481	3	298.167	360.833	1.000	1.464	0.683	0.857
1482	2	650.000	360.500	1.000	2.000	0.500	1.000
1483	9	960.722	361.833	1.000	1.185	0.844	0.857
1484	3	364.833	361.833	1.000	1.464	0.683	0.857
1485	3	420.833	362.167	1.000	1.464	0.683	0.857
1486	3	721.167	362.167	1.000	1.464	0.683	0.857
1487	11	52.136	363.591	1.000	1.372	0.729	0.957
1488	3	467.167	364.167	1.000	1.464	0.683	0.857
1489	12	843.000	365.000	1.000	1.000	1.000	0.857
1490	3	244.167	365.167	1.000	1.464	0.683	0.857
1491	1	430.500	364.500	1.000	1.000	1.000	1.000
1492	5	492.700	364.900	1.000	1.553	0.644	0.909
1493	5	601.100	365.700	1.000	1.553	0.644	0.909
1494	3	751.167	365.167	1.000	1.464	0.683	0.857
1495	8	850.625	365.625	1.000	1.229	0.814	0.941
1496	7	163.786	366.500	1.000	1.069	0.936	0.875
1497	1	454.500	365.500	1.000	1.000	1.000	1.000
1498	3	765.500	365.500	0.967	3.000	0.333	1.000
1499	4	803.000	366.000	1.000	1.000	1.000	1.000
1500	9	878.056	366.389	1.000	1.817	0.550	0.857
1501	2	12.000	366.500	1.000	2.000	0.500	1.000
1502	8	150.125	366.875	0.820	2.564	0.390	0.889
1503	3	170.500	366.500	0.967	3.000	0.333	1.000
1504	1	203.500	366.500	1.000	1.000	1.000	1.000
1505	4	274.000	367.000	1.000	1.000	1.000	1.000
1506	2	400.500	367.000	1.000	2.000	0.500	1.000
1507	11	832.864	368.045	1.000	1.139	0.878	0.815
1508	2	294.500	369.000	1.000	2.000	0.500	1.000
1509	8	529.875	369.250	1.000	1.605	0.623	0.800
1510	10	775.500	369.400	0.887	2.510	0.398	0.800
1511	3	952.167	368.833	1.000	1.464	0.683	0.857
1512	2	969.500	369.000	1.000	2.000	0.500	1.000
1513	4	43.000	369.500	0.740	4.000	0.250	1.000
1514	3	131.500	369.500	0.967	3.000	0.333	1.000
1515	4	135.000	370.000	1.000	1.000	1.000	1.000
1516	8	236.000	370.500	1.000	1.195	0.837	0.800
1517	5	252.900	370.300	1.000	1.553	0.644	0.909
1518	13	793.577	370.885	0.922	1.489	0.672	0.788
1519	3	96.500	370.500	0.967	3.000	0.333	1.000
1520	10	107.200	371.700	0.887	2.198	0.455	0.833
1521	10	181.500	371.700	1.000	1.236	0.809	0.909
1522	8	57.000	372.500	0.914	2.179	0.459	0.800
1523	5	81.500	372.300	0.873	1.496	0.668	0.714
1524	9	362.167	373.389	1.000	1.340	0.746	0.857
1525	8	823.875	372.875	0.740	2.564	0.390	0.889
1526	2	1011.000	372.500	1.000	2.000	0.500	1.000
1527	4	496.000	374.000	1.000	1.000	1.000	1.000
1528	8	812.000	374.000	1.000	2.000	0.500	1.000
1529	9	844.389	374.833	0.799	2.013	0.497	0.783
1530	10	883.300	374.600	1.000	1.288	0.776	0.909
1531	10	69.700	376.000	1.000	1.327	0.753	0.909
1532	3	427.500	375.500	0.809	3.000	0.333	1.000
1533	1	931.500	374.500	1.000	1.000	1.000	1.000
1534	4	10.750	376.500	0.857	1.468	0.681	0.800
1535	11	149.136	376.591	1.000	1.372	0.729	0.957
1536	4	168.000	376.000	1.000	1.000	1.000	1.000
1537	4	227.000	376.000	1.000	1.000	1.000	1.000
1538	2	244.000	375.500	1.000	2.000	0.500	1.000
1539	2	581.000	375.500	1.000	2.000	0.500	1.000
1540	19	126.711	378.553	1.000	1.380	0.725	0.884
1541	1	189.500	376.500	1.000	1.000	1.000	1.000
1542	11	482.864	377.682	0.976	1.714	0.583	0.846
1543	5	373.700	378.100	1.000	1.553	0.644	0.909
1544	6	404.667	378.667	1.000	1.291	0.775	0.800
1545	6	637.333	378.333	1.000	1.291	0.775	0.800
1546	7	800.214	378.357	1.000	1.380	0.725	0.875
1547	2	529.500	379.000	1.000	2.000	0.500	1.000
1548	3	772.167	379.167	1.000	1.464	0.683	0.857
1549	1	176.500	379.500	1.000	1.000	1.000	1.000
1550	18	234.833	381.000	1.000	1.518	0.659	0.857
1551	4	293.250	380.250	0.857	2.000	0.500	0.800
1552	6	781.000	380.000	0.916	2.082	0.480	0.857
1553	10	984.000	380.700	1.000	1.384	0.723	0.909
1554	2	42.500	381.000	1.000	2.000	0.500	1.000
1555	10	90.500	382.000	1.000	1.551	0.645	0.909
1556	8	791.500	381.000	0.820	2.392	0.418	0.889
1557	7	817.500	381.500	1.000	1.596	0.626	0.875
1558	3	827.167	380.833	1.000	1.464	0.683	0.857
1559	5	892.700	381.100	1.000	1.553	0.644	0.909
1560	10	157.500	383.000	1.000	1.551	0.645	0.909
1561	9	215.611	382.278	1.000	1.539	0.650	0.900
1562	8	501.375	382.375	1.000	1.229	0.814	0.941
1563	2	701.000	381.500	1.000	2.000	0.500	1.000
1564	1	713.500	382.500	1.000	1.000	1.000	1.000
1565	6	753.000	383.500	1.000	1.500	0.667	1.000
1566	8	808.000	384.000	1.000	2.000	0.500	1.000
1567	2	51.000	383.500	1.000	2.000	0.500	1.000
1568	15	167.033	385.833	0.976	1.392	0.718	0.882
1569	6	195.500	384.000	1.000	1.500	0.667	1.000
1570	5	771.700	384.100	1.000	1.553	0.644	0.909
1571	3	144.167	384.833	1.000	1.464	0.683	0.857
1572	6	743.667	385.333	1.000	1.291	0.775	0.800
1573	13	973.115	386.115	1.000	1.159	0.863	0.897
1574	5	206.300	386.100	1.000	1.553	0.644	0.909
1575	1	993.500	385.500	1.000	1.000	1.000	1.000
1576	8	122.750	387.625	1.000	1.939	0.516	0.842
1577	12	225.000	387.500	1.000	1.333	0.750	1.000
