 	Area	XM	YM	Circ.	AR	Round	Solidity
1	5	11.300	10.900	1.000	1.553	0.644	0.909
2	6	21.167	11.167	0.916	1.593	0.628	0.857
3	2	47.000	10.500	1.000	2.000	0.500	1.000
4	2	70.500	11.000	1.000	2.000	0.500	1.000
5	1	123.500	10.500	1.000	1.000	1.000	1.000
6	2	191.000	10.500	1.000	2.000	0.500	1.000
7	1	247.500	10.500	1.000	1.000	1.000	1.000
8	1	278.500	10.500	1.000	1.000	1.000	1.000
9	5	297.300	10.900	1.000	1.553	0.644	0.909
10	19	317.921	12.079	0.944	1.460	0.685	0.927
11	5	403.300	10.900	1.000	1.553	0.644	0.909
12	1	447.500	10.500	1.000	1.000	1.000	1.000
13	1	490.500	10.500	1.000	1.000	1.000	1.000
14	6	498.500	11.000	1.000	1.500	0.667	1.000
15	7	520.786	10.929	1.000	1.936	0.517	0.933
16	4	555.000	10.500	0.740	4.000	0.250	1.000
17	11	661.227	11.227	0.976	1.603	0.624	0.880
18	9	688.944	11.167	1.000	1.536	0.651	0.857
19	8	708.250	11.250	0.914	1.416	0.706	0.800
20	8	765.500	10.875	0.820	2.232	0.448	0.889
21	5	791.500	10.500	0.599	5.000	0.200	1.000
22	5	805.500	10.500	0.599	5.000	0.200	1.000
23	3	825.167	10.833	1.000	1.464	0.683	0.857
24	2	844.000	10.500	1.000	2.000	0.500	1.000
25	6	903.167	11.333	0.769	2.778	0.360	0.706
26	2	983.500	11.000	1.000	2.000	0.500	1.000
27	7	461.357	13.214	0.718	2.423	0.413	0.824
28	6	570.000	13.500	1.000	1.500	0.667	1.000
29	18	617.667	13.833	0.996	1.372	0.729	0.947
30	10	58.300	15.000	1.000	1.327	0.753	0.909
31	1	367.500	13.500	1.000	1.000	1.000	1.000
32	4	481.000	14.500	0.857	2.031	0.492	0.800
33	4	969.000	14.000	1.000	1.000	1.000	1.000
34	3	349.833	15.167	1.000	1.464	0.683	0.857
35	4	509.000	15.000	1.000	1.000	1.000	1.000
36	5	114.300	16.100	1.000	1.553	0.644	0.909
37	1	342.500	15.500	1.000	1.000	1.000	1.000
38	7	183.500	17.214	1.000	1.069	0.936	0.875
39	2	697.000	16.500	1.000	2.000	0.500	1.000
40	10	77.700	19.000	1.000	1.327	0.753	0.909
41	2	131.000	17.500	1.000	2.000	0.500	1.000
42	2	362.500	18.000	1.000	2.000	0.500	1.000
43	1	447.500	17.500	1.000	1.000	1.000	1.000
44	2	580.000	17.500	1.000	2.000	0.500	1.000
45	4	750.000	18.000	1.000	1.000	1.000	1.000
46	12	97.500	20.500	0.719	2.045	0.489	0.800
47	2	221.500	19.000	1.000	2.000	0.500	1.000
48	7	271.786	19.357	0.898	1.895	0.528	0.737
49	2	834.500	20.000	1.000	2.000	0.500	1.000
