 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	12.625	11.375	1.000	1.229	0.814	0.941
2	6	56.500	11.000	1.000	1.500	0.667	1.000
3	24	69.000	13.042	0.916	1.291	0.775	0.828
4	1	80.500	10.500	1.000	1.000	1.000	1.000
5	2	95.000	10.500	1.000	2.000	0.500	1.000
6	4	165.500	10.750	1.000	1.468	0.681	0.800
7	2	198.000	10.500	1.000	2.000	0.500	1.000
8	2	249.000	10.500	1.000	2.000	0.500	1.000
9	8	334.500	10.875	0.820	2.232	0.448	0.889
10	7	402.786	11.357	1.000	1.380	0.725	0.875
11	3	565.500	10.500	0.967	3.000	0.333	1.000
12	12	646.000	12.167	1.000	1.281	0.781	0.857
13	4	707.000	10.500	0.740	4.000	0.250	1.000
14	2	745.000	10.500	1.000	2.000	0.500	1.000
15	6	771.500	11.000	1.000	1.500	0.667	1.000
16	3	882.500	10.500	0.967	3.000	0.333	1.000
17	3	1012.500	10.500	0.967	3.000	0.333	1.000
18	3	323.833	12.167	1.000	1.464	0.683	0.857
19	8	517.000	12.500	1.000	1.195	0.837	0.800
20	4	547.000	12.000	1.000	1.000	1.000	1.000
21	8	492.875	13.125	0.740	2.564	0.390	0.889
22	5	503.500	13.500	0.873	1.000	1.000	0.714
23	2	210.500	14.000	1.000	2.000	0.500	1.000
24	4	290.250	14.250	0.857	2.000	0.500	0.800
25	2	522.000	13.500	1.000	2.000	0.500	1.000
26	3	824.500	13.500	0.967	3.000	0.333	1.000
27	6	966.333	14.333	1.000	1.291	0.775	0.800
28	1	188.500	14.500	1.000	1.000	1.000	1.000
29	2	597.000	14.500	1.000	2.000	0.500	1.000
30	2	677.000	14.500	1.000	2.000	0.500	1.000
31	5	699.500	15.500	0.873	1.000	1.000	0.714
32	1	985.500	14.500	1.000	1.000	1.000	1.000
33	11	265.682	17.045	1.000	1.450	0.689	0.846
34	1	341.500	15.500	1.000	1.000	1.000	1.000
35	4	755.000	16.000	1.000	1.000	1.000	1.000
36	8	30.625	17.375	1.000	1.229	0.814	0.941
37	1	666.500	16.500	1.000	1.000	1.000	1.000
38	12	899.500	18.000	0.931	1.504	0.665	0.800
39	7	353.500	18.500	1.000	1.596	0.626	0.875
40	1	410.500	18.500	1.000	1.000	1.000	1.000
41	4	513.000	19.000	1.000	1.000	1.000	1.000
42	14	238.286	20.500	0.838	1.950	0.513	0.875
43	2	256.000	19.500	1.000	2.000	0.500	1.000
44	2	418.500	20.000	1.000	2.000	0.500	1.000
45	5	556.500	21.300	0.572	2.980	0.336	0.625
46	3	131.833	20.833	1.000	1.464	0.683	0.857
47	7	197.500	21.786	1.000	1.069	0.936	0.875
48	6	364.500	21.000	1.000	1.500	0.667	1.000
49	1	510.500	20.500	1.000	1.000	1.000	1.000
50	7	541.500	21.214	1.000	1.069	0.936	0.875
51	4	948.000	21.000	1.000	1.000	1.000	1.000
52	12	344.500	23.667	0.967	1.631	0.613	0.889
53	9	717.944	22.833	1.000	1.536	0.651	0.857
54	13	19.115	24.115	1.000	1.159	0.863	0.897
55	9	66.722	23.611	0.726	2.627	0.381	0.783
56	8	520.750	23.250	1.000	1.416	0.706	0.800
57	4	693.000	24.000	1.000	1.000	1.000	1.000
58	4	104.750	25.500	0.857	1.468	0.681	0.800
59	2	143.000	24.500	1.000	2.000	0.500	1.000
60	11	447.136	25.955	1.000	1.139	0.878	0.815
61	9	501.167	25.611	1.000	1.340	0.746	0.857
62	5	679.500	25.500	0.873	1.000	1.000	0.714
63	1	731.500	24.500	1.000	1.000	1.000	1.000
64	9	891.389	25.833	0.799	2.013	0.497	0.783
65	3	10.833	25.833	1.000	1.464	0.683	0.857
66	1	205.500	25.500	1.000	1.000	1.000	1.000
67	10	381.700	26.500	1.000	1.236	0.809	0.909
68	1	437.500	25.500	1.000	1.000	1.000	1.000
69	6	480.667	26.333	1.000	1.291	0.775	0.800
70	2	793.500	26.000	1.000	2.000	0.500	1.000
71	1	35.500	26.500	1.000	1.000	1.000	1.000
72	1	188.500	26.500	1.000	1.000	1.000	1.000
73	4	783.000	27.000	1.000	1.000	1.000	1.000
74	3	32.500	28.500	0.809	3.000	0.333	1.000
75	2	576.500	28.000	1.000	2.000	0.500	1.000
76	4	653.750	28.500	0.857	1.468	0.681	0.800
77	3	244.167	29.167	1.000	1.464	0.683	0.857
78	13	255.115	29.885	1.000	1.159	0.863	0.897
79	3	279.167	29.167	1.000	1.464	0.683	0.857
80	2	359.000	28.500	1.000	2.000	0.500	1.000
81	14	964.786	30.000	1.000	1.020	0.981	0.933
82	3	140.833	30.167	1.000	1.464	0.683	0.857
83	10	130.500	32.000	1.000	1.551	0.645	0.909
84	10	948.500	32.700	0.806	2.212	0.452	0.833
85	2	985.500	31.000	1.000	2.000	0.500	1.000
86	2	994.500	31.000	1.000	2.000	0.500	1.000
87	2	325.500	32.000	1.000	2.000	0.500	1.000
88	4	371.500	32.250	1.000	1.468	0.681	0.800
89	15	524.433	33.100	1.000	1.295	0.772	0.857
90	10	645.000	32.300	1.000	1.327	0.753	0.909
91	1	345.500	32.500	1.000	1.000	1.000	1.000
92	5	56.900	34.300	1.000	1.553	0.644	0.909
93	1	160.500	34.500	1.000	1.000	1.000	1.000
94	13	578.115	36.269	1.000	1.093	0.915	0.897
95	2	298.500	36.000	1.000	2.000	0.500	1.000
96	5	383.900	36.300	0.764	2.188	0.457	0.769
97	10	660.700	37.000	1.000	1.327	0.753	0.909
98	7	674.214	36.500	1.000	1.069	0.936	0.875
99	4	848.000	36.000	1.000	1.000	1.000	1.000
